"Характеристики";"Короткое название";"Артикул"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7888";"NESСAFE Кофе растворимый 3 в 1 Крепкий, 20 стиков х 16 г";"116007"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7889";"NESСAFE Кофе растворимый Gold Barista 85 г";"110272"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7890";"JARDIN кофе растворимый Guatemala Atitlan 95 г";"110309"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7891";"NESСAFE Кофе растворимый Gold Crema 95 г";"110274"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7892";"TCHIBO Кофе растворимый Exclusive 95 г";"110246"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7893";"JARDIN кофе растворимый Kenya Kilimanjaro 95 г";"110307"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7895";"JARDIN кофе растворимый Colombia Medellin 95 г";"110310"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7897";"ЧЕРНАЯ КАРТА Кофе растворимый Gold 150 г";"110204"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7898";"TCHIBO Кофе растворимый Gold Selection 150 г";"110235"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7901";"ЧЕРНАЯ КАРТА Кофе растворимый Premium 95 г";"110219"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7902";"WOLLINGER 3D кофе растворимый сублимированный 150 г";"110178"
