"Рекомендуемые товары";"Сопутствующие товары";"Артикул";"Короткое название"
"HEINZ соус Сырный 230 мл;KNORR приправа на второе Наггетсы по-Американски 49 г";"LORADO оливки зеленые фаршированные лососем 314 мл;РЫБНОЕ МЕНЮ Скумбрия атлантическая в томатном соусе 230 гр;LORADO оливки зеленые фаршированные лимоном 314 мл;РЫБНОЕ МЕНЮ Скумбрия атлантическая натуральная с добавлением масла 250 гр;LORADO оливки зеленые фаршированные креветками 314 мл;РЫБНОЕ МЕНЮ Шпроты в масле из балтийской кильки 175 гр";170332;"КУБАНОЧКА томатная паста в стеклянной банке 0,5 кг"
"HEINZ соус Соевый оригинальный 150 мл;KNORR приправа на второе Нежная Рыба в Белом Соусе с Травами 23 г";"LORADO шампиньоны Отборные целые 425 мл;ECOFOOD Осетр в собственном соку 240 г;LORADO оливки зеленые фаршированные лососем 314 мл;РЫБНОЕ МЕНЮ Скумбрия атлантическая в томатном соусе 230 гр;LORADO оливки зеленые фаршированные лимоном 314 мл;РЫБНОЕ МЕНЮ Скумбрия атлантическая натуральная с добавлением масла 250 гр";170333;"UNCLE BEN’S соус кисло-сладкий с ананасом 210 г"
"HEINZ соус Терияки 230 мл;KNORR приправа на второе Пикантная Паста с Курицей в Томатном Соусе 27 г";"LORADO шампиньоны резаные 3,1 л;ECOFOOD Осетр в оливковом масле с рисом 240 г;LORADO шампиньоны Отборные целые 425 мл;ECOFOOD Осетр в собственном соку 240 г;LORADO оливки зеленые фаршированные лососем 314 мл;РЫБНОЕ МЕНЮ Скумбрия атлантическая в томатном соусе 230 гр";170334;"CALVE соус майонезный Чилинез 200 г"
"HEINZ соус Вустерский Lea and Perrins 290 мл;KNORR приправа на второе Плов 27 г";"LORADO томаты маринованные 720 мл;ECOFOOD Сиг севанский в томатном соусе 240 г;LORADO шампиньоны резаные 3,1 л;ECOFOOD Осетр в оливковом масле с рисом 240 г;LORADO шампиньоны Отборные целые 425 мл;ECOFOOD Осетр в собственном соку 240 г";170335;"CALVE соус Вьетнамский имбирный 230 г"
"КУБАНОЧКА томатная паста 140 г;KNORR приправа на второе Ребрышки с Картошкой 23 г";"ПОМИДОРКА томаты маринованные Черри 720 мл;ECOFOOD Уха из осетра по-царски 530 г;LORADO томаты маринованные 720 мл;ECOFOOD Сиг севанский в томатном соусе 240 г;LORADO шампиньоны резаные 3,1 л;ECOFOOD Осетр в оливковом масле с рисом 240 г";170336;"CALVE соус Тайский сладкий чили 230 г"
"КУБАНОЧКА томатная паста дой-пак 200 г;KNORR приправа на второе Шаурма по-домашнему 32 г";"ШЕСТЬ СОТОК Ассорти томаты черри и огурцы 720 мл;ECOFOOD Уха из радужной форели по-царски 530 г;ПОМИДОРКА томаты маринованные Черри 720 мл;ECOFOOD Уха из осетра по-царски 530 г;LORADO томаты маринованные 720 мл;ECOFOOD Сиг севанский в томатном соусе 240 г";170337;"HEINZ соус Горчичный 230 мл"
"КУБАНОЧКА томатная паста саше 100 г;KNORR приправа на второе Сочная Курица Барбекю 26 г";"ШЕСТЬ СОТОК кукуруза консервированная 425 мл;ECOFOOD Форель радужная в собственном соку 240 г;ШЕСТЬ СОТОК Ассорти томаты черри и огурцы 720 мл;ECOFOOD Уха из радужной форели по-царски 530 г;ПОМИДОРКА томаты маринованные Черри 720 мл;ECOFOOD Уха из осетра по-царски 530 г";170338;"HEINZ томатная паста 70 г"
"КУБАНОЧКА томатная паста в стеклянной банке 1 кг;KNORR приправа на второе Сочная Курица c Чесноком и Травами 27 г";"ШЕСТЬ СОТОК зеленый горошек 425 г;ЮЖМОРРЫБФЛОТ печень трески По-мурмански 240 г;ШЕСТЬ СОТОК кукуруза консервированная 425 мл;ECOFOOD Форель радужная в собственном соку 240 г;ШЕСТЬ СОТОК Ассорти томаты черри и огурцы 720 мл;ECOFOOD Уха из радужной форели по-царски 530 г";170339;"HEINZ кетчуп Для стейка 0,35 кг"
"КУБАНОЧКА томатная паста в стеклянной банке 1,8 кг;KNORR приправа на второе Сочные Крылышки в Горчично Медовом Соусе 23 г";"ECOFOOD Долма овощная с виноградными листьями  500 г;ДОБРОФЛОТ сайра копченая в масле 210 г;ШЕСТЬ СОТОК зеленый горошек 425 г;ЮЖМОРРЫБФЛОТ печень трески По-мурмански 240 г;ШЕСТЬ СОТОК кукуруза консервированная 425 мл;ECOFOOD Форель радужная в собственном соку 240 г";170340;"БАЛТИМОР соус Чесночный 200 г"
"КУБАНОЧКА томатная паста в стеклянной банке 280 г;KNORR приправа на второе Сочные Куриные Грудки с Паприкой 24 г";"LORADO шампиньоны резаные 0,43 л;ДОБРОФЛОТ сайра бланшированная в масле 250 г;ECOFOOD Долма овощная с виноградными листьями  500 г;ДОБРОФЛОТ сайра копченая в масле 210 г;ШЕСТЬ СОТОК зеленый горошек 425 г;ЮЖМОРРЫБФЛОТ печень трески По-мурмански 240 г";170341;"КУБАНОЧКА томатная паста 0,38 кг"
"LORADO соус Лечо 720 мл;KNORR приправа на второе Сочное Жаркое 24 г";"КУБАНОЧКА огурцы маринованые Корнишоны 1-4 см 0,36 кг;ДОБРОФЛОТ Сайра Тихоокеанская с добавлением масла 245 г;LORADO шампиньоны резаные 0,43 л;ДОБРОФЛОТ сайра бланшированная в масле 250 г;ECOFOOD Долма овощная с виноградными листьями  500 г;ДОБРОФЛОТ сайра копченая в масле 210 г";180040;"HEINZ кетчуп Томатный 0,35 кг"
"МАКА кетчуп Шашлычный 900 г;KNORR приправа на второе Спагетти Болоньезе 25 г";"HEINZ фасоль острая Сладкий чили 390 г;ДОБРОФЛОТ иваси сардина в масле 210 г;КУБАНОЧКА огурцы маринованые Корнишоны 1-4 см 0,36 кг;ДОБРОФЛОТ Сайра Тихоокеанская с добавлением масла 245 г;LORADO шампиньоны резаные 0,43 л;ДОБРОФЛОТ сайра бланшированная в масле 250 г";170342;"KNORR приправа На второе Лапша по-азиатски с имбирем 30 г"
"MIVIMEX соус чили ассорти 200 г;ЮГАГРОИНТЕКС соль пищевая каменная Помол №1 высший сорт 1 кг";"LORADO шампиньоны резаные 0,85 л;МАЯК икра окуня 125 г;HEINZ фасоль острая Сладкий чили 390 г;ДОБРОФЛОТ иваси сардина в масле 210 г;КУБАНОЧКА огурцы маринованые Корнишоны 1-4 см 0,36 кг;ДОБРОФЛОТ Сайра Тихоокеанская с добавлением масла 245 г";170343;"KNORR приправа На второе Сочная буженина 30 г"
"MIVIMEX соус чили Кавказский 200 г;KNORR бульон Куриный с Овощами и Зеленью 75 г";"КУБАНОЧКА томаты маринованные 0,72 л;МАЯК икра трески 125 г;LORADO шампиньоны резаные 0,85 л;МАЯК икра окуня 125 г;HEINZ фасоль острая Сладкий чили 390 г;ДОБРОФЛОТ иваси сардина в масле 210 г";170344;"ВОЛШЕБНОЕ ДЕРЕВО перец черный Горошек 60 г"
"МОЯ СЕМЬЯ соус Сырный 240 г;KNORR чашка супа Грибной с сухариками 16 г";"HEINZ фасоль белая 400 г;МАЯК икра сома 125 г;КУБАНОЧКА томаты маринованные 0,72 л;МАЯК икра трески 125 г;LORADO шампиньоны резаные 0,85 л;МАЯК икра окуня 125 г";170345;"ВОЛШЕБНОЕ ДЕРЕВО перец черный Горошек 10 г"
"ПАПРИЧИ соус Барбекю 320 г;KNORR чашка супа Куриный с сухариками 16 г";"FERRAGOSTO горошек консервированный 425 г;ДОБРОФЛОТ сельдь Тихоакеанская натуральная с добавлением масла 245 г;HEINZ фасоль белая 400 г;МАЯК икра сома 125 г;КУБАНОЧКА томаты маринованные 0,72 л;МАЯК икра трески 125 г";170346;"ВОЛШЕБНОЕ ДЕРЕВО Морская соль розовая 350 г"
"ПАПРИЧИ соус Для спагетти 320 г;KNORR чашка супа Сырный с сухариками 16 г";"FERRAGOSTO Кукуруза ж/б 425мл;НЕПТУН Сайра НДМ №6 240г;FERRAGOSTO горошек консервированный 425 г;ДОБРОФЛОТ сельдь Тихоакеанская натуральная с добавлением масла 245 г;HEINZ фасоль белая 400 г;МАЯК икра сома 125 г";170347;"ВОЛШЕБНОЕ ДЕРЕВО 5 перцев 50 г"
"ПАПРИЧИ соус Кисло-сладкий 320 г;РОЛЛТОН бульон говяжий домашний 100 г";"LORADO кукуруза консервированная 425 г;LORADO черника дробленая с сахаром 370 мл;FERRAGOSTO Кукуруза ж/б 425мл;НЕПТУН Сайра НДМ №6 240г;FERRAGOSTO горошек консервированный 425 г;ДОБРОФЛОТ сельдь Тихоакеанская натуральная с добавлением масла 245 г";170348;"ВОЛШЕБНОЕ ДЕРЕВО Смесь перцев 30г"
"ПАПРИЧИ соус Остро-сладкий 320 г;РОЛЛТОН бульон куриный домашний 100 г";"ПОМИДОРКА лечо 480 мл;LORADO фрукты консервированные Абрикосы Половинки в сиропе 425 мл;LORADO кукуруза консервированная 425 г;LORADO черника дробленая с сахаром 370 мл;FERRAGOSTO Кукуруза ж/б 425мл;НЕПТУН Сайра НДМ №6 240г";170349;"KNORR приправа На второе Свинина в кисло-сладком соусе 37 г"
"ПАПРИЧИ соус С Ананасом 300 г;КОСТРОВОК маринад Чесночый 80 г";"ПОМИДОРКА  лечо  480 мл;LORADO фрукты консервированные Ананас Кусочки в сиропе 580 мл;ПОМИДОРКА лечо 480 мл;LORADO фрукты консервированные Абрикосы Половинки в сиропе 425 мл;LORADO кукуруза консервированная 425 г;LORADO черника дробленая с сахаром 370 мл";170350;"KNORR кубик бульонный Куриный Домашний 8х10 г"
"ПАПРИЧИ соус Шашлычный 320 г;КОСТРОВОК маринад для Барбекю 300 г";"ДОБРОФЛОТ Горбуша Натуральная 245 г;LORADO фрукты консервированные Ананас Кусочки в сиропе 850 мл;ПОМИДОРКА  лечо  480 мл;LORADO фрукты консервированные Ананас Кусочки в сиропе 580 мл;ПОМИДОРКА лечо 480 мл;LORADO фрукты консервированные Абрикосы Половинки в сиропе 425 мл";170351;"KNORR приправа На второе для приготовления Гуляша 31 г"
"ПОМИДОРКА томатная паста 140 г;КОСТРОВОК маринад для Чесночных Крылышек 60 г";"ДОБРОФЛОТ Сайра Тихоокеанская Натуральная 245 г;LORADO фрукты консервированные Ананас Шайбы в сиропе 580 мл;ДОБРОФЛОТ Горбуша Натуральная 245 г;LORADO фрукты консервированные Ананас Кусочки в сиропе 850 мл;ПОМИДОРКА  лечо  480 мл;LORADO фрукты консервированные Ананас Кусочки в сиропе 580 мл";170352;"ВОЛШЕБНОЕ ДЕРЕВО Прованская смесь трав 10 г"
"ПОМИДОРКА томатная паста 250 мл;КОСТРОВОК маринад для Курицы с чесноком и травами 300 г";"ДОБРОФЛОТ Сардина Тихоокеанская ИВАСИ Натуральная 245 г;LORADO фрукты консервированные Ананас Шайбы в сиропе 850 мл;ДОБРОФЛОТ Сайра Тихоокеанская Натуральная 245 г;LORADO фрукты консервированные Ананас Шайбы в сиропе 580 мл;ДОБРОФЛОТ Горбуша Натуральная 245 г;LORADO фрукты консервированные Ананас Кусочки в сиропе 850 мл";170353;"ВОЛШЕБНОЕ ДЕРЕВО перец душистый Горошек 15 г"
"ПОМИДОРКА томатная паста 480 мл;КОСТРОВОК маринад для Мяса брусничный 300 г";"ДОБРОФЛОТ Скумбрия Дальневосточная Натуральная с Добавлением Масла 245 г;LORADO фрукты консервированные Груши Половинки в сиропе 850 мл;ДОБРОФЛОТ Сардина Тихоокеанская ИВАСИ Натуральная 245 г;LORADO фрукты консервированные Ананас Шайбы в сиропе 850 мл;ДОБРОФЛОТ Сайра Тихоокеанская Натуральная 245 г;LORADO фрукты консервированные Ананас Шайбы в сиропе 580 мл";170354;"ВОЛШЕБНОЕ ДЕРЕВО базилик сушеный 10 г"
"ПОМИДОРКА томатная паста 70 г;КОСТРОВОК маринад Кавказский 80 г";"ДОБРОФЛОТ Тунец кусковой натуральный 185 гр;LORADO фрукты консервированные Коктейль Тропический в сиропе 850 мл;ДОБРОФЛОТ Скумбрия Дальневосточная Натуральная с Добавлением Масла 245 г;LORADO фрукты консервированные Груши Половинки в сиропе 850 мл;ДОБРОФЛОТ Сардина Тихоокеанская ИВАСИ Натуральная 245 г;LORADO фрукты консервированные Ананас Шайбы в сиропе 850 мл";170355;"ВОЛШЕБНОЕ ДЕРЕВО приправа Пряная зелень 10 г"
"ПОМИДОРКА томатная паста 770 г;КОСТРОВОК маринад шашлычный Классический 300 г";"ДОБРОФЛОТ Тунец рубленный натуральный в масле 185 гр;LORADO малина дробленая с сахаром 370 мл;ДОБРОФЛОТ Тунец кусковой натуральный 185 гр;LORADO фрукты консервированные Коктейль Тропический в сиропе 850 мл;ДОБРОФЛОТ Скумбрия Дальневосточная Натуральная с Добавлением Масла 245 г;LORADO фрукты консервированные Груши Половинки в сиропе 850 мл";170356;"ЛЮБИМОЕ БЛЮДО приправа для греческого салата 20 г"
"UNCLE BENS соус Кисло-сладкий 210 г;КОСТРОВОК маринад шашлычный По-кавказски 300 г";"КАПИТАН МОРЕЙ Бычки обжаренные в томатном соусе 240 гр;LORADO персики половинки в сиропе 850 г;ДОБРОФЛОТ Тунец рубленный натуральный в масле 185 гр;LORADO малина дробленая с сахаром 370 мл;ДОБРОФЛОТ Тунец кусковой натуральный 185 гр;LORADO фрукты консервированные Коктейль Тропический в сиропе 850 мл";170357;"LINDT Шоколад молочный Creation Лимон 150гр"
"UNCLE BENS соус Техасский Барбекю 210 г;КОСТРОВОК маринад Универсальный 300 г";"КАПИТАН МОРЕЙ Кальмар натуральный 250 г;LORADO варенье Абрикосовое 370 мл;КАПИТАН МОРЕЙ Бычки обжаренные в томатном соусе 240 гр;LORADO персики половинки в сиропе 850 г;ДОБРОФЛОТ Тунец рубленный натуральный в масле 185 гр;LORADO малина дробленая с сахаром 370 мл";170358;"KNORR пюре картофельное 250 г"
"DOLMIO соус Традиционный 350 г;КОСТРОВОК жидкий дым Классический 330 мл";"КАПИТАН МОРЕЙ Килька балтийская обжаренная в томатном соусе 240 гр;LORADO ягоды консервированные Клубника в сиропе 425 мл;КАПИТАН МОРЕЙ Кальмар натуральный 250 г;LORADO варенье Абрикосовое 370 мл;КАПИТАН МОРЕЙ Бычки обжаренные в томатном соусе 240 гр;LORADO персики половинки в сиропе 850 г";170359;"KNORR Томатный крем-суп 51г"
"DOLMIO соус С Ароматными Травами 350 г;KNORR бульон Куриный с Овощами и Зеленью 75 г";"КАПИТАН МОРЕЙ печень трески 230 г;ПАПРИЧИ сироп Лимонный 330 мл;КАПИТАН МОРЕЙ Килька балтийская обжаренная в томатном соусе 240 гр;LORADO ягоды консервированные Клубника в сиропе 425 мл;КАПИТАН МОРЕЙ Кальмар натуральный 250 г;LORADO варенье Абрикосовое 370 мл";170360;"БИГ ЛАНЧ пюре картофельное в соусе с кусочками говядины 110 г"
"CALVE майонез Классический 200 г;KNORR чашка супа Грибной с сухариками 16 г";"КАПИТАН МОРЕЙ Сельдь атлантическая натуральная с добавлением масла 250 гр;ПАПРИЧИ сироп Малиновый 330 мл;КАПИТАН МОРЕЙ печень трески 230 г;ПАПРИЧИ сироп Лимонный 330 мл;КАПИТАН МОРЕЙ Килька балтийская обжаренная в томатном соусе 240 гр;LORADO ягоды консервированные Клубника в сиропе 425 мл";170361;"БИГ ЛАНЧ лапша со вкусом тушеной курицы и лука 90 г"
"CALVE майонез Классический 400 г;KNORR чашка супа Куриный с сухариками 16 г";"КАПИТАН МОРЕЙ шпроты в масле 160 г;ПАПРИЧИ сироп Вишневый 330 мл;КАПИТАН МОРЕЙ Сельдь атлантическая натуральная с добавлением масла 250 гр;ПАПРИЧИ сироп Малиновый 330 мл;КАПИТАН МОРЕЙ печень трески 230 г;ПАПРИЧИ сироп Лимонный 330 мл";170362;"БИГ ЛАНЧ лапша в соусе с кусочками сочной говядины 110 г"
"CALVE майонез Классический 700 г;KNORR чашка супа Сырный с сухариками 16 г";"КАПИТАН МОРЕЙ шпроты в масле 240 г;ПАПРИЧИ сироп Клубничный 330 мл;КАПИТАН МОРЕЙ шпроты в масле 160 г;ПАПРИЧИ сироп Вишневый 330 мл;КАПИТАН МОРЕЙ Сельдь атлантическая натуральная с добавлением масла 250 гр;ПАПРИЧИ сироп Малиновый 330 мл";170363;"БИГ ЛАНЧ лапша со вкусом говядины грибов и зелени 90 г"
"CALVE майонез Легкий 230 г;РОЛЛТОН бульон говяжий домашний 100 г";"КАПИТАН МОРЕЙ Тунец натуральный 250 г;LORADO персики половинки в сиропе 0,43 л;КАПИТАН МОРЕЙ шпроты в масле 240 г;ПАПРИЧИ сироп Клубничный 330 мл;КАПИТАН МОРЕЙ шпроты в масле 160 г;ПАПРИЧИ сироп Вишневый 330 мл";170364;"KNORR чашка супа мясной с сухариками По-Испански 19 г"
"CALVE майонез Легкий 400 г;РОЛЛТОН бульон куриный домашний 100 г";"МАЯК икра сельди 125 г;ГРОДФУД Паштет индюшиный печеночный 100 гр;КАПИТАН МОРЕЙ Тунец натуральный 250 г;LORADO персики половинки в сиропе 0,43 л;КАПИТАН МОРЕЙ шпроты в масле 240 г;ПАПРИЧИ сироп Клубничный 330 мл";170365;"БИГ ЛАНЧ пюре картофельное в соусе со вкусом курицы 50 г"
"CALVE майонез Легкий 800 г;КОСТРОВОК маринад Чесночый 80 г";"ОТ ИВАНЫЧА килька черноморская неразделанная в томатном соусе 240 г;ГРОДФУД Паштет Куриный Печеночный 100 г;МАЯК икра сельди 125 г;ГРОДФУД Паштет индюшиный печеночный 100 гр;КАПИТАН МОРЕЙ Тунец натуральный 250 г;LORADO персики половинки в сиропе 0,43 л";170366;"KNORR чашка супа томатный с сухариками По-Итальянски 18 г"
"CALVE майонез Оливковый 200 г;КОСТРОВОК маринад для Барбекю 300 г";"РЫБНОЕ МЕНЮ Килька балтийская неразделанная в томатном соусе 230 гр;ГРОДФУД тушеная говядина 338 г;ОТ ИВАНЫЧА килька черноморская неразделанная в томатном соусе 240 г;ГРОДФУД Паштет Куриный Печеночный 100 г;МАЯК икра сельди 125 г;ГРОДФУД Паштет индюшиный печеночный 100 гр";170367;"РОЛЛТОН Пюре Стакан Жареный лук 40г"
"CALVE майонез Оливковый 390 г;КОСТРОВОК маринад для Чесночных Крылышек 60 г";"РЫБНОЕ МЕНЮ Сардина атлантическая натуральная с добавлением масла 230 гр;ГРОДФУД Тушеная Свинина 338 г;РЫБНОЕ МЕНЮ Килька балтийская неразделанная в томатном соусе 230 гр;ГРОДФУД тушеная говядина 338 г;ОТ ИВАНЫЧА килька черноморская неразделанная в томатном соусе 240 г;ГРОДФУД Паштет Куриный Печеночный 100 г";170368;"KNORR чашка супа куринный с лапшой 13 г"
"CALVE майонез Провансаль легкий 390 г;КОСТРОВОК маринад для Курицы с чесноком и травами 300 г";"РЫБНОЕ МЕНЮ Сардинелла натуральная с добавлением масла 230 гр;ГРОДФУД Ветчина Европейская 110 г;РЫБНОЕ МЕНЮ Сардина атлантическая натуральная с добавлением масла 230 гр;ГРОДФУД Тушеная Свинина 338 г;РЫБНОЕ МЕНЮ Килька балтийская неразделанная в томатном соусе 230 гр;ГРОДФУД тушеная говядина 338 г";170369;"KNORR чашка супа гороховый с сухариками 21 г"
"ДАРЫ КУБАНИ майонез Провансаль 56% 220 гр;КОСТРОВОК маринад для Мяса брусничный 300 г";"РЫБНОЕ МЕНЮ Шпроты в масле из балтийской кильки 160 гр;ECOFOOD Долма армянская из говядины 460 г;РЫБНОЕ МЕНЮ Сардинелла натуральная с добавлением масла 230 гр;ГРОДФУД Ветчина Европейская 110 г;РЫБНОЕ МЕНЮ Сардина атлантическая натуральная с добавлением масла 230 гр;ГРОДФУД Тушеная Свинина 338 г";170370;"KNORR чашка супа харчо с сухариками 13.7 г"
"СЛОБОДА Майонез на перепелиных яйцах 67% 400 мл;КОСТРОВОК маринад Кавказский 80 г";"РЫБНОЕ МЕНЮ Шпроты в масле из балтийской кильки 175 гр;ECOFOOD Хариса армянская (пшеничная каша с курицей) 500 г;РЫБНОЕ МЕНЮ Шпроты в масле из балтийской кильки 160 гр;ECOFOOD Долма армянская из говядины 460 г;РЫБНОЕ МЕНЮ Сардинелла натуральная с добавлением масла 230 гр;ГРОДФУД Ветчина Европейская 110 г";170371;"KNORR грибной суп с сыром 15.5 г"
"СЛОБОДА Майонез на перепелиных яйцах 67% 800 мл;КОСТРОВОК маринад шашлычный Классический 300 г";"РЫБНОЕ МЕНЮ Скумбрия атлантическая натуральная с добавлением масла 250 гр;ECOFOOD Суп Харчо по-армянски из говядины 520 г;РЫБНОЕ МЕНЮ Шпроты в масле из балтийской кильки 175 гр;ECOFOOD Хариса армянская (пшеничная каша с курицей) 500 г;РЫБНОЕ МЕНЮ Шпроты в масле из балтийской кильки 160 гр;ECOFOOD Долма армянская из говядины 460 г";170372;"KNORR чашка супа мясной с лапшой 14 г"
"HEINZ кетчуп Томатный 0,57 кг;KNORR приправа Для Свинины Хрустящая Корочка 30 г";"FERRAGOSTO горошек консервированный 425 г;ДОБРОФЛОТ сельдь Тихоакеанская натуральная с добавлением масла 245 г;HEINZ фасоль белая 400 г;МАЯК икра сома 125 г;КУБАНОЧКА томаты маринованные 0,72 л;МАЯК икра трески 125 г";170373;"KNORR борщ с сухариками 14.8 г"
