"Категории";"Основная категория";"Показывать товар";"Артикул";"Цена_Трансазия";"Цена_Розничная";"Короткое название";"Бренд";"Фотографии";"Характеристики";"Описание товара";"Сопутствующие товары";"Рекомендуемые товары"
"Продукты/Кондитерские изделия/Печенье, пряники, вафли";"Продукты/Кондитерские изделия/Печенье, пряники, вафли";1;180027;;" ";"MILKA печенье Soft & Choc с начинкой 175 г";"MILKA";"/storage/photo/original/e/milka-pechenesoft-choc-s-nachinkoj-175-g.jpg";"(Характеристики товара (Продукты))Тип товара:Печенье;
(Характеристики товара (Продукты))Бренд:MILKA;
(Характеристики товара (Продукты))Страна происхождения:ПОЛЬША;
(Характеристики товара (Продукты))EAN:7622210762481;
(Характеристики товара (Продукты))Вес:175 г;
(Характеристики товара (Продукты))Код товара:CB-00024565";"Нежные и воздушные кексы Milka Cake & Choc наполнены кусочками альпийского шоколада, а в сердце у него шоколадная помадка. Этот мягкий и тонкий вкус не оставит равнодушным к себе. Испытай невероятное чувство воздушности Milka Cake & Choc, закажи бесподобную вкуснятину от Milka (Милка).
Состав
Мука, глюкозо-фруктозный сироп, растительные масла (пальмовое, рапсовое), сахар, яйца, молочный шоколад кусочки 10,2% [сахар, цельное сухое молоко, какао масса, какао масло, сухая молочная сыворотка, эмульгатор (соевый лецитин), ароматизаторы], стабилизатор (глицерин), шоколад 2,9% [какао тертое, сахар, обезжиренный порошок какао, эмульгатор (соевый лецитин), ароматизаторы], сухое обезжиренное молоко, пшеничный крахмал, цельное сухое молоко, обезжиренный какао-порошок, разрыхлитель (динатрия дифосфат, бикарбонат натрия), соль, ароматизаторы, глюкозный сироп, эмульгаторы (E472b, E475), загуститель (ксантановая камедь). Может содержать следы орехов.";;
"Продукты/Кондитерские изделия/Печенье, пряники, вафли";"Продукты/Кондитерские изделия/Печенье, пряники, вафли";1;180028;58;72;"OREO печенье  шоколад 228 г";"OREO";"/storage/photo/original/e/oreo-pechene-shokolad-228-g.jpg";"(Характеристики товара (Продукты))Код товара:CB-00024073";;;
"Продукты/Кондитерские изделия/Печенье, пряники, вафли";"Продукты/Кондитерские изделия/Печенье, пряники, вафли";1;180029;;" ";"OREO печенье  шоколад 95 г";"OREO";"/storage/photo/original/e/oreo-pechene-shokolad-95-g.jpg";"(Характеристики товара (Продукты))Код товара:CB-00024071";;;
"Продукты/Кондитерские изделия/Печенье, пряники, вафли";"Продукты/Кондитерские изделия/Печенье, пряники, вафли";1;180030;;" ";"OREO печенье  228 г";"OREO";"/storage/photo/original/e/oreo-pechene-228-g.jpg";"(Характеристики товара (Продукты))Код товара:CB-00008068";;;
"Продукты/Кондитерские изделия/Печенье, пряники, вафли";"Продукты/Кондитерские изделия/Печенье, пряники, вафли";1;180031;;" ";"ЮБИЛЕЙНОЕ печенье  С Темной Глазурью 116 г";"ЮБИЛЕЙНОЕ";"/storage/photo/original/e/yubilejnoe-pechene-s-temnoj-glazuryu-116-g.jpg";"(Характеристики товара (Продукты))Тип товара:Печенье;
(Характеристики товара (Продукты))Бренд:ЮБИЛЕЙНОЕ;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:7622210453808;
(Характеристики товара (Продукты))Вес:116 г;
(Характеристики товара (Продукты))Код товара:CB-00006832";"Юбилейное"" - торговая марка сахарного печенья, выпускаемого в России с 1913 года. Любимый вкус, знакомый с детства. Оберегая традиции марки ""Юбилейное"", Kraft Foods удалось сохранить и преумножить все лучшее, что заключает в себе этот бренд: печенье содержит натуральные ингредиенты, сохранило высокие стандарты качества и по праву называется лучшим от природы. Для того, чтобы полностью отвечать веяниям времени, в 2015 году была разработана новая более современная упаковка продукта, а также запущена новая коммуникация ""Юбилейное – твой уголок природы в городе"". В результате ""Юбилейное"" - все та же самая любимая марка печенья, как и 100 лет назад, которую знают почти 100% населения России.";;
"Продукты/Кондитерские изделия/Печенье, пряники, вафли";"Продукты/Кондитерские изделия/Печенье, пряники, вафли";1;180032;;" ";"ЮБИЛЕЙНОЕ печенье  С Глазурью молочное 116 г";"ЮБИЛЕЙНОЕ";"/storage/photo/original/e/yubilejnoe-pechene-s-glazuryu-molochnoe-116-g.jpg";"(Характеристики товара (Продукты))Тип товара:Печенье;
(Характеристики товара (Продукты))Бренд:ЮБИЛЕЙНОЕ;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:7622210453853;
(Характеристики товара (Продукты))Вес:116 г;
(Характеристики товара (Продукты))Код товара:CB-00007202";"Юбилейное"" - торговая марка сахарного печенья, выпускаемого в России с 1913 года. Любимый вкус, знакомый с детства. Оберегая традиции марки ""Юбилейное"", Kraft Foods удалось сохранить и преумножить все лучшее, что заключает в себе этот бренд: печенье содержит натуральные ингредиенты, сохранило высокие стандарты качества и по праву называется лучшим от природы. Для того, чтобы полностью отвечать веяниям времени, в 2015 году была разработана новая более современная упаковка продукта, а также запущена новая коммуникация ""Юбилейное – твой уголок природы в городе"". В результате ""Юбилейное"" - все та же самая любимая марка печенья, как и 100 лет назад, которую знают почти 100% населения России.";;
"Продукты/Кондитерские изделия/Печенье, пряники, вафли";"Продукты/Кондитерские изделия/Печенье, пряники, вафли";1;180033;;" ";"ЮБИЛЕЙНОЕ печенье  Молочное 112 г";"ЮБИЛЕЙНОЕ";"/storage/photo/original/e/yubilejnoe-pechene-molochnoe-112-g.jpg";"(Характеристики товара (Продукты))Тип товара:Печенье;
(Характеристики товара (Продукты))Бренд:ЮБИЛЕЙНОЕ;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:7622210457554;
(Характеристики товара (Продукты))Вес:112 г;
(Характеристики товара (Продукты))Код товара:CB-00006641";"Юбилейное"" - торговая марка сахарного печенья, выпускаемого в России с 1913 года. Любимый вкус, знакомый с детства. Оберегая традиции марки ""Юбилейное"", Kraft Foods удалось сохранить и преумножить все лучшее, что заключает в себе этот бренд: печенье содержит натуральные ингредиенты, сохранило высокие стандарты качества и по праву называется лучшим от природы. Для того, чтобы полностью отвечать веяниям времени, в 2015 году была разработана новая более современная упаковка продукта, а также запущена новая коммуникация ""Юбилейное – твой уголок природы в городе"". В результате ""Юбилейное"" - все та же самая любимая марка печенья, как и 100 лет назад, которую знают почти 100% населения России.";;
"Продукты/Кондитерские изделия/Печенье, пряники, вафли";"Продукты/Кондитерские изделия/Печенье, пряники, вафли";1;180034;;" ";"ЮБИЛЕЙНОЕ печенье  С Темной Глазурью ореховое 116 г";"ЮБИЛЕЙНОЕ";"/storage/photo/original/e/yubilejnoe-pechene-s-temnoj-glazuryu-orehovoe-116-g.jpg";"(Характеристики товара (Продукты))Тип товара:Печенье;
(Характеристики товара (Продукты))Бренд:ЮБИЛЕЙНОЕ;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:7622210458018;
(Характеристики товара (Продукты))Вес:116 г;
(Характеристики товара (Продукты))Код товара:CB-00007203";"Юбилейное"" - торговая марка сахарного печенья, выпускаемого в России с 1913 года. Любимый вкус, знакомый с детства. Оберегая традиции марки ""Юбилейное"", Kraft Foods удалось сохранить и преумножить все лучшее, что заключает в себе этот бренд: печенье содержит натуральные ингредиенты, сохранило высокие стандарты качества и по праву называется лучшим от природы. Для того, чтобы полностью отвечать веяниям времени, в 2015 году была разработана новая более современная упаковка продукта, а также запущена новая коммуникация ""Юбилейное – твой уголок природы в городе"". В результате ""Юбилейное"" - все та же самая любимая марка печенья, как и 100 лет назад, которую знают почти 100% населения России.";;
"Продукты/Кондитерские изделия/Печенье, пряники, вафли";"Продукты/Кондитерские изделия/Печенье, пряники, вафли";1;180035;;" ";"ЮБИЛЕЙНОЕ печенье  Традиционное 112 г";"ЮБИЛЕЙНОЕ";"/storage/photo/original/e/yubilejnoe-pechene-tradicionnoe-112-g.jpg";"(Характеристики товара (Продукты))Тип товара:Печенье;
(Характеристики товара (Продукты))Бренд:ЮБИЛЕЙНОЕ;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:7622210457745;
(Характеристики товара (Продукты))Вес:112 г;
(Характеристики товара (Продукты))Код товара:CB-00006642";"Юбилейное"" - торговая марка сахарного печенья, выпускаемого в России с 1913 года. Любимый вкус, знакомый с детства. Оберегая традиции марки ""Юбилейное"", Kraft Foods удалось сохранить и преумножить все лучшее, что заключает в себе этот бренд: печенье содержит натуральные ингредиенты, сохранило высокие стандарты качества и по праву называется лучшим от природы. Для того, чтобы полностью отвечать веяниям времени, в 2015 году была разработана новая более современная упаковка продукта, а также запущена новая коммуникация ""Юбилейное – твой уголок природы в городе"". В результате ""Юбилейное"" - все та же самая любимая марка печенья, как и 100 лет назад, которую знают почти 100% населения России.";;
"Продукты/Кондитерские изделия/Печенье, пряники, вафли";"Продукты/Кондитерские изделия/Печенье, пряники, вафли";1;180036;;" ";"ЮБИЛЕЙНОЕ печенье  С Глазурью какао 116 г";"ЮБИЛЕЙНОЕ";"/storage/photo/original/e/yubilejnoe-pechene-s-glazuryu-kakao-116-g.jpg";"(Характеристики товара (Продукты))Тип товара:Печенье;
(Характеристики товара (Продукты))Бренд:ЮБИЛЕЙНОЕ;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:7622210459206;
(Характеристики товара (Продукты))Вес:116 г;
(Характеристики товара (Продукты))Код товара:CB-00007204";"Юбилейное"" - торговая марка сахарного печенья, выпускаемого в России с 1913 года. Любимый вкус, знакомый с детства. Оберегая традиции марки ""Юбилейное"", Kraft Foods удалось сохранить и преумножить все лучшее, что заключает в себе этот бренд: печенье содержит натуральные ингредиенты, сохранило высокие стандарты качества и по праву называется лучшим от природы. Для того, чтобы полностью отвечать веяниям времени, в 2015 году была разработана новая более современная упаковка продукта, а также запущена новая коммуникация ""Юбилейное – твой уголок природы в городе"". В результате ""Юбилейное"" - все та же самая любимая марка печенья, как и 100 лет назад, которую знают почти 100% населения России.";;
"Продукты/Кондитерские изделия/Печенье, пряники, вафли";"Продукты/Кондитерские изделия/Печенье, пряники, вафли";1;180037;;" ";"ЮБИЛЕЙНОЕ печенье  С Кусочками Клюквы 112 г";"ЮБИЛЕЙНОЕ";"/storage/photo/original/e/yubilejnoe-pechene-s-kusochkami-klyukvi-112-g.jpg";"(Характеристики товара (Продукты))Тип товара:Печенье;
(Характеристики товара (Продукты))Бренд:ЮБИЛЕЙНОЕ;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:7622210505521;
(Характеристики товара (Продукты))Вес:112 г;
(Характеристики товара (Продукты))Код товара:CB-00013716";"Юбилейное"" - торговая марка сахарного печенья, выпускаемого в России с 1913 года. Любимый вкус, знакомый с детства. Оберегая традиции марки ""Юбилейное"", Kraft Foods удалось сохранить и преумножить все лучшее, что заключает в себе этот бренд: печенье содержит натуральные ингредиенты, сохранило высокие стандарты качества и по праву называется лучшим от природы. Для того, чтобы полностью отвечать веяниям времени, в 2015 году была разработана новая более современная упаковка продукта, а также запущена новая коммуникация ""Юбилейное – твой уголок природы в городе"". В результате ""Юбилейное"" - все та же самая любимая марка печенья, как и 100 лет назад, которую знают почти 100% населения России.";;
"Продукты/Кондитерские изделия/Круассаны, пирожные, рулеты";"Продукты/Кондитерские изделия/Круассаны, пирожные, рулеты";1;180038;;" ";"7 DAYS круассан CHIPICAO  мини Драконы 50 г";"7 DAYS";"/storage/photo/original/e/7-days-kruassan-chipicao-mini-drakoni-50-g.jpg";"(Характеристики товара (Продукты))Тип товара:Круассаны;
(Характеристики товара (Продукты))Бренд:7 DAYS;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:5201360565207;
(Характеристики товара (Продукты))Вес:50 г;
(Характеристики товара (Продукты))Код товара:CB-00045680";"<p>
Круассан 7 Days CHIPICAO- идеальное сочетание еды и веселья! Chipicao - это круассаны и коллекционный подарок с любимыми героями в каждой упаковке.</p>
<br>
Состав:
Тесто: мука пшеничная хлебопекарная высшего сорта, маргарин (пальмовое масло, вода питьевая, соль поваренная пищевая, эмульгатор (моно - и диглицериды жирных кислот), регулятор кислотности (лимонная кислота), консервант (сорбат калия 0,1%), вода питьевая, сахар, глюкозный сироп, дрожжи хлебопекарные прессованные, стабилизатор (моно - и диглицериды жирных кислот), соль поваренная пищевая, ароматизатор, молокосодержащий продукт (молочный белок, стабилизатор (ксантановая камедь), эмульгатор (рапсовый лецитин), регулятор кислотности (лимонная кислота), консервант (пропионат кальция 0,1%). Крем какао 23%: сахар, пальмовое масло, вода питьевая, обезжиренный какао порошок 7%, молоко сухое обезжиренное, спирт этиловый ректификованный из пищевого сырья ""Люкс"" крепость 96,3% об., эмульгатор (моно - и диглицериды жирных кислот), ароматизатор, загуститель (альгинат натрия), консервант (сорбат калия 0,1%).";;
"Продукты/Консервированная продукция/Овощи, грибы консервированные";"Продукты/Консервированная продукция/Овощи, грибы консервированные";1;180039;;" ";"ПОМИДОРКА  лечо  480 мл";"ПОМИДОРКА";"/storage/photo/original/e/pomidorka-lecho-480-ml.jpg";"(Характеристики товара (Продукты))Тип товара:Лечо;
(Характеристики товара (Продукты))Бренд:ПОМИДОРКА;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4607035893421;
(Характеристики товара (Продукты))Объем:480 мл;
(Характеристики товара (Продукты))Код товара:CB-00026831";"<br><p>Лечо ""Помидорка""- отборный желтый перец, нарезанный крупными кусочками, залитый густой натуральной томатной заливой.
Состав: Перец сладкий, томатное пюре, сахар, соль,пряности, специи.
</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:";;
"Продукты/Супы, соусы и специи/Кетчупы, соусы";"Продукты/Супы, соусы и специи/Кетчупы, соусы";1;180040;;" ";"HEINZ кетчуп Томатный 0,35 кг";"HEINZ";"/storage/photo/original/e/heinz-ketchup-tomatnij-035-kg.jpg";"(Характеристики товара (Продукты))Тип товара:Кетчуп;
(Характеристики товара (Продукты))Бренд:HEINZ;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4601674008642;
(Характеристики товара (Продукты))Вес:350 г;
(Характеристики товара (Продукты))Код товара:CB-00004885";"Кетчуп Heinz - самый знаменитый кетчуп в мире. Он выпускается уже 140 лет и остается неизменно популярным благодаря высочайшему качеству натуральных ингредиентов, густой консистенции и насыщенному вкусу томатов.<br />
<br />
В состав кетчупа Heinz входят только натуральные ингредиенты: томаты, соль, сахар, натуральный уксус и специи. Heinz не содержит и не будет содержать красителей, консервантов и крахмала.";;
"Продукты/Супы, соусы и специи/Кетчупы, соусы";"Продукты/Супы, соусы и специи/Кетчупы, соусы";1;180041;;" ";"HEINZ кетчуп Томатный 0,57 кг";"HEINZ";"/storage/photo/original/e/heinz-ketchup-tomatnij-057-kg.jpg";"(Характеристики товара (Продукты))Тип товара:Кетчуп;
(Характеристики товара (Продукты))Бренд:HEINZ;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4601674008536;
(Характеристики товара (Продукты))Вес:570 г;
(Характеристики товара (Продукты))Код товара:CB-00004884";"Кетчуп Heinz - самый знаменитый кетчуп в мире. Он выпускается уже 140 лет и остается неизменно популярным благодаря высочайшему качеству натуральных ингредиентов, густой консистенции и насыщенному вкусу томатов.<br />
<br />
В состав кетчупа Heinz входят только натуральные ингредиенты: томаты, соль, сахар, натуральный уксус и специи. Heinz не содержит и не будет содержать красителей, консервантов и крахмала.";;
"Продукты/Супы, соусы и специи/Кетчупы, соусы";"Продукты/Супы, соусы и специи/Кетчупы, соусы";1;180042;;" ";"HEINZ кетчуп Томатный перевернутый 0,57 кг";"HEINZ";"/storage/photo/original/e/heinz-ketchup-tomatnij-perevernutij-057-kg.jpg";"(Характеристики товара (Продукты))Тип товара:Кетчуп;
(Характеристики товара (Продукты))Бренд:HEINZ;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:8715700017006;
(Характеристики товара (Продукты))Вес:570 г;
(Характеристики товара (Продукты))Код товара:CB-00006502";"Кетчуп Heinz - самый знаменитый кетчуп в мире. Он выпускается уже 140 лет и остается неизменно популярным благодаря высочайшему качеству натуральных ингредиентов, густой консистенции и насыщенному вкусу томатов.<br />
<br />
В состав кетчупа Heinz входят только натуральные ингредиенты: томаты, соль, сахар, натуральный уксус и специи. Heinz не содержит и не будет содержать красителей, консервантов и крахмала.";;
"Косметика и Уход/Уход за ногами/Маски, скрабы, носочки для ног";"Косметика и Уход/Уход за ногами/Маски, скрабы, носочки для ног";1;570235;;" ";"SALTON парафиновые носочки для ног Feet Only Lady с маслом кокоса и оливы";"SALTON";"/storage/photo/original/e/salton-parafinovie-nosochki-dlya-nogfeet-only-lady-s-maslom-kokosa-i-olivi.jpg";"(Характеристики товара (Косметика и уход))Тип товара:Для ног;
(Характеристики товара (Косметика и уход))Бренд:SALTON;
(Характеристики товара (Косметика и уход))Серия:Feet Only;
(Характеристики товара (Косметика и уход))Страна происхождения:Китай;
(Характеристики товара (Косметика и уход))EAN:4640016743254;
(Характеристики товара (Косметика и уход))Количество:1 компл;
(Характеристики товара (Косметика и уход))Код товара:CB-00038974";"Предназначено для ухода за кожей стоп, увлажнения и смягчения, активизации кровообращения и снятия усталости стоп. Входящие в состав масла кокоса и оливы предохраняют кожу от обезвоживания, сухости и шелушения, обеспечивая ухоженный вид надолго.";;
"Косметика и Уход/Уход за волосами/Масла, сыворотки и элексиры";"Косметика и Уход/Уход за волосами/Масла, сыворотки и элексиры";1;570236;;" ";"DOVE спрей-объем для волос  Advanced Hair Series Легкость Кислорода 150 мл";"DOVE";"/storage/photo/original/e/dove-sprej-obem-dlya-volos-advanced-hair-series-legkost-kisloroda-150-ml.jpg";"(Характеристики товара (Косметика и уход))Тип товара:Спрей для волос;
(Характеристики товара (Косметика и уход))Бренд:DOVE;
(Характеристики товара (Косметика и уход))Страна происхождения:Германия;
(Характеристики товара (Косметика и уход))EAN:8710908094651;
(Характеристики товара (Косметика и уход))Объем:150 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00041132";"<p>
Спрей-Объем для волос DOVE Легкость Кислорода предназначен для тонких, поврежденных волос. Ежедневная сушка феном и горячая укладка делают волосы еще более сухими, а спреи для придания объема утяжеляют их, склеивая и лишая ощущения свежести. Однако, спрей с легкой текстурой может великолепно справиться с задачей и придать Вашим волосам желаемый объем, одновременно увлажняя их. Спрей для прикорневого объема DOVE Легкость кислорода действует именно там, где волосы быстро теряют свой объем - у корней. Он приподнимает волосы, придавая им дополнительный объем и форму. Вдохните жизнь в поврежденные волосы вместе с DOVE Легкость кислорода!
</p>
<br>
Особенности Продукта:
<br>
<li>
Для всех типов волос
<li>
Придает волосам моментальный объем от самых корней
<li>
Содержит технологию Oxyfusion, которая питает и восстанавливает тонкие, поврежденные волосы <li>
Входящие в состав увлажняющие компоненты придают волосам до 95% дополнительного объема
<li>
Может быть использован как для укладки, так и для увлажнения и придания объема волосам
<br>
Состав:
Aqua, Glycerin, Acrylic Acid/VP Crosspolymer, Benzophenone-4, Citric Acid, Coceth-7, Disodium EDTA, Gluconolactone, Iodopropynyl Butylcarbamate, Lactic Acid, Laureth-7, Menthol, Parfum, PEG/PPG-25/25 Dimethicone, PEG-10 Dimethicone, PEG-4 Dilaurate, PEG-4 Laurate, PEG-4, PEG-40 Hydrogenated Castor Oil, Phenoxyethanol, Polysorbate 20, PPG-1-PEG-9 Lauryl Glycol Ether, Sodium Benzoate, Sodium Hydroxide, Sodium Sulfate, Trehalose, Amyl Cinnamal, Benzyl Alcohol, Benzyl Salicylate, Butylphenyl Methylpropional, Citronellol, Geraniol, Hexyl Cinnamal, Limonene, Linalool.";;
"Косметика и Уход/Уход за волосами/Маски";"Косметика и Уход/Уход за волосами/Маски";1;570237;306;382;"GLISS KUR маска для волос Экстремальное Восстановление  300 мл";"GLISS KUR";"/storage/photo/original/e/gliss-kur-maska-dlya-volos-ekstremalnoe-vosstanovlenie-300-ml.jpg";"(Характеристики товара (Косметика и уход))Тип товара:Маски для волос;
(Характеристики товара (Косметика и уход))Бренд:GLISS KUR;
(Характеристики товара (Косметика и уход))Страна происхождения:Словакия;
(Характеристики товара (Косметика и уход))EAN:4015100191486;
(Характеристики товара (Косметика и уход))Объем:300 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00037331";"<p>
Маска для волос GLISS KUR Экстремальное Восстановление разработан специально для ухода за сильно поврежденными сухими волосами. Это красота, защита, увлажнение и здоровый вид в одном флаконе. Благодаря формуле с тройной концентрацией жидких кератинов легко проникает вовнутрь волоса сквозь разрушенные места, помогая им восстановиться и укрепиться. Так, поврежденные длинные волосы уже не придется обстригать, ведь им помогут кератиновые молекулы. Кератин полезен и для вьющихся волос, он выравнивает их, благодаря чему локоны становятся ухоженными и сияющими. Ваши волосы станут более упругими и блестящими. </p>
<br>
Особенности Продукта:
<br>
<li>
Для поврежденных волос
<li>
Для волос любого типа
<li>
Интенсивный уход
<li>
Увлажнение и питание
<li>
Упругость и блеск
<li>
Кератиновое восстановление
<br>
Состав:
Аqua, cetearyl alcohol, isopropyl myristate, behentrimonium chloride, distearoylethyl hydroxyethylmonium methosulfate,  stearamidopropyl dimethylamine, guar hydroxypropyltrimonium chloride,  cetrimonium chloride,  cocodimonium hydroxypropyl hydrolyzed keratin, hydrolyzed keratin, panthenol, cetyl palmitate,  dimethicone,  phenoxyethanol, citric acid, isopropyl alcohol, methylparaben, parfum,  hexyl cinnamal, linalool, limonene, potassium sorbate.
<br>";;
"Косметика и Уход/Уход за волосами/Маски";"Косметика и Уход/Уход за волосами/Маски";1;570238;;" ";"FRESHLIGHT  маска для волос с экстрактом цветка Магнолии для девочек 300 мл";"FRESHLIGHT";"/storage/photo/original/e/freshlight-maska-dlya-volos-s-ekstraktom-cvetka-magnolii-dlya-devochek-300-ml.jpg";"(Характеристики товара (Косметика и уход))Тип товара:Маска для волос;
(Характеристики товара (Косметика и уход))Бренд:FRESHLIGHT;
(Характеристики товара (Косметика и уход))Страна происхождения:Словения;
(Характеристики товара (Косметика и уход))EAN:4015100206142;
(Характеристики товара (Косметика и уход))Объем:300 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00039325";"<p>
Маска для волос премиального бренда FRESHLIGHT вобрала в себя лучшие веяния японской культуры. Привлекательный дизайн упаковки с известной коллекционной японской куклой Blythe, волшебный аромат и ухаживающая формула с натуральными экстрактами магнолии, сделает ваши волосы такими же ухоженными, как у обожаемых героинь японской культуры. Входящий в состав кератин восстанавливает волосы изнутри, а экстракт магнолии укрепляет их, делая сильнее с каждым применением. Легкие цитрусовые оттенки бергамота, дополненные нежным ароматом розовой орхидеи и жасмина, не оставят равнодушной ни одну модницу.
</p>
<br>
Особенности Продукта:
<br>
<li>
Приятный и нежный аромат
<li>
Мягкая кремовая консистенция
<li>
Равномерное нанесение
<li>
Рекомендован к использованию с 6 лет
<li>
Дерматологически протестирован
<br>
Состав:
Aqua, Cetearyl Alcohol, Isopropyl Myristate, Behentrimonium Chloride, Distearoylethyl Hydroxyethyl monium Methosulfate, Stearamidopropyl Dimethylamine, Cetyl Palmitate, Dimethicone, Citric Acid, Isopropyl Alcohol, Parfum, Cetrimonium Chloride, Propylene Glycol, Panthenol, Guar Hy droxypropyltrimonium Chloride, Hydrolyzed Keratin, Amodimethi cone/Morpholinomethyl Silsesquioxane Copolymer, Trideceth-5, Magnolia Liliflora Flower Extract, Phenoxyethanol, Methylparaben, Limonene, Linalool, Butylphenyl Methylpropional, Hexyl Cinnamal.";;
"Косметика и Уход/Уход за волосами/Маски";"Косметика и Уход/Уход за волосами/Маски";1;570239;;" ";"BLONDME маска для волос Tone Enhancing бондинг-маска  для поддержания холодных оттенков 200 мл";"BLONDME";"/storage/photo/original/e/blondme-maska-dlya-volos-tone-enhancing-bonding-maska-dlya-podderzhaniya-holodnih-ottenkov-200-ml.jpg";"(Характеристики товара (Косметика и уход))Тип товара:Маски для волос;
(Характеристики товара (Косметика и уход))Бренд:BLONDME;
(Характеристики товара (Косметика и уход))Страна происхождения:Словакия;
(Характеристики товара (Косметика и уход))EAN:4045787369977;
(Характеристики товара (Косметика и уход))Объем:200 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00029889";"<br><p>Невесомая восстанавливающая Бондинг - Маска с тонирующим эффектом, усиливает холодное направление тона. Преимущества: Восстанавливает внутреннюю структуру хрупких, осветленных и окрашенных волос, не перегружая их. Создает новые бонды внутри структуры. Распутывает пористые волосы, облегчает расчесывание. Поддерживает и освежает холодное направление тона на волосах. Нейтрализует проявляющиеся теплые оттенки. Подчеркивает красоту волос. Применение: Нанесите равномерно на влажные волосы. Оставьте для воздействия на 5-10 минут (визуально контролируйте процесс тонирования). Тщательно смойте. Совет: Для достижения максимального результата используйте в комплексе с Бондинг - Шампунем и Спреем - Кондиционером BlondMe для поддержания холодных оттенков блонд или комбинируйте с Бондинг - Шампунем и Бондинг - Кондиционерм BlondMe ""Кератиновое Восстановление"". Перед применением внимательно ознакомьтесь с инструкцией на упаковке продукта.</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:";;
"Косметика и Уход/Уход за волосами/Маски";"Косметика и Уход/Уход за волосами/Маски";1;570240;;" ";"BONACURE маска для волос PH 4.5 Color Freeze  для окрашенных волос 750 мл";"BONACURE";"/storage/photo/original/e/bonacure-maska-dlya-volos-ph-4.5-color-freeze-dlya-okrashennih-volos-750-ml.jpg";"(Характеристики товара (Косметика и уход))Тип товара:Маски для волос;
(Характеристики товара (Косметика и уход))Бренд:BONACURE;
(Характеристики товара (Косметика и уход))Страна происхождения:ГЕРМАНИЯ;
(Характеристики товара (Косметика и уход))EAN:4045787426465;
(Характеристики товара (Косметика и уход))Объем:750 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00035413";"<br><p>Линия BONACURE COLOR FREEZE pH4.5 создана для окрашенных и мелировнных волос. Запатентованная Технология Стабилизации уровня pH 4.5 не только выравнивает поверхность волос, но и фиксирует цветовые пигменты глубоко внутри волосяного матрикса для поддержания абсолютного результата окрашивания. Интенсивная восстанавливающая кремовая Маска для окрашенных волос. Защищает цвет от потускнения. Интенсивная ухаживающая маска содержит гидролизированный кератин, который заполняет структурные разрывы от кортекса до внешнего слоя волос, улучшая эластичность окрашенных волос. Кондиционирует и разглаживает поверхность волос. Придает сверкающий блеск. Дополнительная информация: Уровень ухода ""4"", уровень pH 3.0 – 4.0</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:";;
