"Артикул";"Цена_Амизян";"Цена_Розничная";"Остаток"
160107;238,84;318;10
110257;240,88;320;70
110230;250,18;333;206
110250;272,84;363;91
110248;272,84;363;136
110249;275,64;367;37
110251;278,17;370;28
110072;280,08;373;41
110076;293,67;391;36
110175;299,33;398;96
110203;310,75;413;1024
124011;313,68;417;10
124012;313,68;417;41
110288;321,9;428;97
110252;339,94;452;65
110244;346,89;461;44
110057;394,05;524;252
110220;398,23;530;76
110195;408,18;543;14
110174;419,1;557;511
110306;434,57;578;216
110056;457,08;608;115
121017;459,77;611;4
110073;460,88;613;98
110289;466,2;620;150
110276;466,2;620;714
110258;481,75;641;26
110222;509,14;677;46
110074;524,79;698;33
110277;657,11;874;296
110285;740,83;985;173
140282;;" ";52
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
;;" ";
