"Рекомендуемые товары";"Сопутствующие товары";"Артикул";"Короткое название"
"ЭКОФЕРМЕР фруктовая пастила Облепиха с Яблоком и Медом 50 г";"ЧИМ ЧИМ набор для приготовления Фунчозы в Устричном Соусе 190 г;BARILLA макароны Fettucсine 500 г";140051;"MILKA подарочный набор Микс 270 г"
"ЭКОФЕРМЕР фруктовая пастила Вишня с Бананом 50 г";"ЧИМ ЧИМ Соус Терияки 250 мл;НАЦИОНАЛЬ чечевица Красная 450 г;BARILLA макароны Filini Vermicelles №30 500 г";140052;"ПЕНЗЕНСКАЯ КФ конфеты Маков цвет глазированные 1кг"
"ЭКОФЕРМЕР фруктовая пастила Яблоко с Корицей и Мёдом 50 г";"ЧИМ ЧИМ Соус Устричный 250 мл;НАЦИОНАЛЬ чечевица Зеленая 450 г;BARILLA макароны Fusilli №98 500 г";140053;"ПЕНЗЕНСКАЯ КФ конфеты Петушок масляна головушка 1 кг"
"ЭКОФЕРМЕР пастила фруктовая Pastila Апельсин с яблоком и мёдом 30 г";"ЧИМ ЧИМ вермишель бобовая Фунчоза 200 г;НАЦИОНАЛЬ фасоль Белая 450 г;BARILLA макароны Girandole №34 500 г";140054;"ПЕНЗЕНСКАЯ КФ конфеты Щелкунчик с хрустящими вафлями 1 кг"
"ЭКОФЕРМЕР пастила фруктовая Pastilata Слива с Мёдом 30 г";"HEINZ соус Соевый классический 150 мл;НАЦИОНАЛЬ фасоль Красная 450 г;BARILLA макароны Lasagne 500 г";140055;"ПЕНЗЕНСКАЯ КФ конфеты Трюфели 1кг"
"PUPO конфеты Апельсин в шоколадной глазури 200 г";"MIVIMEX соевый соус 200 г;НАЦИОНАЛЬ Горох 900 г;BARILLA макароны Penne Rigate №73 500 г";140056;"PUPO конфеты Фруктовое Ассорти в Шоколадной Глазури 300 г"
"PUPO конфеты Дыня в шоколадной глазури 200 г";"SEN SOY циновка для приготовления суши-роллов;НАЦИОНАЛЬ Гречка Алтайская 800 г;BARILLA макароны Piccolini Mini Farfalle №64 500 г";140057;"PUPO конфеты Персик в шоколадной глазури 200 г"
"PUPO конфеты Киви в шоколадной глазури 200 г";"SEN SOY Имбирь маринованный 145 г;НАЦИОНАЛЬ Киноа 450 г;BARILLA макароны Piccolini Mini Penne Rigate №66 500 г";140058;"RAFFAELLO набор конфет 150 г"
"PUPO конфеты Медовый Апельсин в сахарной пудре 200 г";"SEN SOY Корейская Заправка для Фунчозы 80 г;НАЦИОНАЛЬ крупа Гречневая ядрица 900 г;BARILLA макароны Pipe Rigate №91 500 г";140059;"RAFFAELLO набор конфет 240 г"
"RACIONIKA батончик мюсли Diet апельсин 50 г";"SEN SOY Корейская Заправка для Моркови 80 г;НАЦИОНАЛЬ крупа Манная 800 г;BARILLA макароны Spaghetti №5 500 г";140060;"RAFFAELLO набор конфет 80 г"
