"Короткое название";"Цена_Трансазия";"Цена_Розничная";"Оценка товарного запаса";"Артикул";"Показывать товар"
"ARIEL Гель для стирки Горный родник 1,1 л";349;436;25;410223;1
"ARIEL Гель для стирки Для чувствительной кожи 1,1 л";349;436;25;410222;1
"AUSSIE Шампунь Mega 300 мл";242;302;25;330624;1
"AUSSIE Бальзам-ополаскиватель Mega Instant 250 мл";242;302;25;330034;1
"BLEND-A-MED Зубная паста Complete 7 Отбеливание 100 мл";92;115;25;310099;1
"ORAL-B Зубная щетка Комплекс Пятисторонняя чистка средняя";116;145;25;380102;1
"PANTENE Масло Восстановление кератина с витамином Е 100 мл";261;326;25;520154;1
"GILLETTE станок для бритья MACH3 с 1 сменной кассетой";330;412;25;320246;1
"ORAL-B Зубная щетка 3-Effect Maxi Clean средняя";43;54;5;310210;1
"HEAD & SHOULDERS Шампунь Комплексный уход 400 мл";242;302;25;330958;1
"SAFEGUARD Жидкое мыло с ароматом Алоэ 250 мл";105;131;25;330426;1
"МИФ Гель для стирки Морозная свежесть 1,6 л";278;348;25;410377;1
"HEAD & SHOULDERS Шампунь Sensitive 400 мл";242;302;25;330966;1
"HEAD & SHOULDERS Шампунь 2 в 1 Цитрусовая свежесть 400 мл";242;302;25;330957;1
"ORAL-B Зубная щетка 3-Effect Деликатное отбеливание средняя";76;95;25;310197;1
"NATURELLA прокладки Classic Camomile Normal 40 шт";173;216;5;340192;1
"HEAD & SHOULDERS Шампунь Лед Арктики 400 мл";242;302;25;330959;1
"BLEND-A-MED Зубная паста 3D White Арктическая Свежесть 100 мл";92;115;25;310086;1
"PANTENE Шампунь Дополнительный объем 400 мл";207;259;25;330816;1
"HEAD & SHOULDERS Шампунь Укрепление волос мужской 400 мл";242;302;25;330968;1
"ORAL-B Зубная щетка 3D White Свежесть средняя";116;145;25;310214;1
"HEAD & SHOULDERS шампунь Успокаивающий уход 600 мл";268;335;5;330712;1
"PANTENE Бальзам-ополаскиватель Густые и крепкие 400 мл";207;259;25;330025;1
"PANTENE Бальзам-ополаскиватель Интенсивное восстановление 400 мл";207;259;5;330100;1
"HEAD & SHOULDERS Шампунь Основной уход 400 мл";242;302;25;330965;1
"ARIEL Гель для стирки Горный родник 0,98 л";283;354;25;410225;1
"ARIEL гель для стирки Color 1 л";283;354;25;410217;1
"PAMPERS подгузники-трусики 4 (9 - 14 кг) 16 шт";350;438;25;710329;1
"TIDE Гель для стирки Альпийская свежесть 1,3 л";289;361;25;410473;1
"PAMPERS подгузники-трусики 4 (9 - 14 кг) 52 шт";1023;1279;5;710502;1
"PAMPERS подгузники-трусики 3 (6 - 11 кг) 60 шт";1023;1279;25;710501;1
"HEAD & SHOULDERS Шампунь Яблочная свежесть 400 мл";242;302;25;330951;1
"TIDE Гель для стирки Альпийская свежесть 1,95 л";428;535;15;410474;1
"ARIEL Гель для стирки Touch of Lenor fresh 1,1 л";349;436;25;410228;1
"МИФ стиральный порошок Морозная Свежесть автомат 4 кг";301;376;25;410391;1
"МИФ стиральный порошок Морозная Свежесть автомат 6 кг";446;558;25;410393;1
"PAMPERS подгузники New Baby 2 (4 - 8 кг) 94 шт";742;928;25;710457;1
"ARIEL стиральный порошок Горный родник автомат 3 кг";349;436;25;410254;1
"PANTENE Бальзам-ополаскиватель Защита от потери волос 400 мл";207;259;25;330102;1
"HEAD & SHOULDERS Шампунь Энергия океана 400 мл";242;302;25;330961;1
"ARIEL Гель для стирки в капсулах Горный родник автомат 30 шт";684;855;15;410240;1
"GILLETTE Бальзам после бритья Soothing 100 мл";213;266;25;320102;1
"BLEND-A-MED Зубная паста Complete 7 Кора Дуба 100 мл";92;115;25;310101;1
"HEAD & SHOULDERS шампунь Комплексный уход 200 мл";146;182;25;330956;1
"ORAL-B Зубная щетка 3D White Отбеливание средняя";116;145;25;380101;1
"PANTENE Шампунь Защита от потери волос 400 мл";207;259;25;330825;1
"ARIEL Гель для стирки в капсулах Горный родник автомат 23 шт";521;651;25;410239;1
"PANTENE cпрей Мгновенный объем 150 мл";207;259;25;520153;1
"ABSOLUT Мыло Алоэ 90 гр";20;25;25;330511;1
"SPLAT Зубная паста Organic 75 мл";129;161;25;380100;1
"SPLAT Зубная паста Extreme White 75 мл";149;186;25;380099;1
"Я РОДИЛСЯ стиральный порошок детский для белого белья автомат 4 кг";364;455;15;740034;1
"Я РОДИЛСЯ стиральный порошок детский Color автомат 0,4 кг";55;69;25;790179;1
