"Рекомендуемые товары";"Сопутствующие товары";"Артикул";"Короткое название"
"GREENFIELD чай черный листовой Earl Grey Fantasy 200 г;GREENFIELD чай черный листовой Golden Ceylon 200 г;GREENFIELD чай черный в пакетиках Barberry Garden 25 шт";"ГЛАВКОФЕ кофе растворимый Венский 95 г;IMPERIAL кофе растворимый Эспрессо 95 г;IMPRESSO кофе растворимый Negro 100 г";"120077";"GREENFIELD чай черный листовой Earl Grey Fantasy 100 г"
"GREENFIELD чай черный листовой Golden Ceylon 100 г;GREENFIELD чай черный листовой Kenyan Sunrise 100 г;GREENFIELD чай черный в пакетиках Chocolate Toffee 25 шт";"IMPERIAL кофе растворимый Эспрессо 95 г;IMPRESSO кофе растворимый Delicato 100 г;IMPRESSO кофе растворимый Ristretto 100 г";"120078";"GREENFIELD чай черный листовой Earl Grey Fantasy 200 г"
"GREENFIELD чай черный листовой Golden Ceylon 200 г;GREENFIELD чай черный листовой Spring Melody 100 г;GREENFIELD чай черный в пакетиках Christnas Mystery 25 шт";"IMPRESSO кофе растворимый Delicato 100 г;IMPRESSO кофе растворимый Negro 100 г;ITALICA кофе молотый дой-пак 250 г";"120079";"GREENFIELD чай черный листовой Golden Ceylon 100 г"
"GREENFIELD чай черный листовой Kenyan Sunrise 100 г;GREENFIELD чай черный в пакетиках Barberry Garden 25 шт;GREENFIELD чай черный в пакетиках Clasic Breakfast 100 шт";"IMPRESSO кофе растворимый Negro 100 г;IMPRESSO кофе растворимый Ristretto 100 г;ITALICA кофе растворимый 100 г";"120080";"GREENFIELD чай черный листовой Golden Ceylon 200 г"
"GREENFIELD чай черный листовой Spring Melody 100 г;GREENFIELD чай черный в пакетиках Chocolate Toffee 25 шт;GREENFIELD чай черный в пакетиках Classic Breakfast 25 шт";"IMPRESSO кофе растворимый Ristretto 100 г;ITALICA кофе молотый дой-пак 250 г;ITALICA кофе растворимый De Luxe 100 г";"120081";"GREENFIELD чай черный листовой Kenyan Sunrise 100 г"
"GREENFIELD чай черный в пакетиках Barberry Garden 25 шт;GREENFIELD чай черный в пакетиках Christnas Mystery 25 шт;GREENFIELD чай черный в пакетиках Earl Grey 25 шт";"ITALICA кофе молотый дой-пак 250 г;ITALICA кофе растворимый 100 г;ITALICA кофе растворимый De Luxe дой-пак 100 г";"120082";"GREENFIELD чай черный листовой Spring Melody 100 г"
"GREENFIELD чай черный в пакетиках Chocolate Toffee 25 шт;GREENFIELD чай черный в пакетиках Clasic Breakfast 100 шт;GREENFIELD чай черный в пакетиках Earl Grey Fantasy 100 шт";"ITALICA кофе растворимый 100 г;ITALICA кофе растворимый De Luxe 100 г;ITALICA кофе растворимый дой-пак 100 г";"120083";"GREENFIELD чай черный в пакетиках Barberry Garden 25 шт"
"GREENFIELD чай черный в пакетиках Christnas Mystery 25 шт;GREENFIELD чай черный в пакетиках Classic Breakfast 25 шт;GREENFIELD чай черный в пакетиках Golden Ceylon 100 шт";"ITALICA кофе растворимый De Luxe 100 г;ITALICA кофе растворимый De Luxe дой-пак 100 г;ITALICA кофе растворимый дой-пак 180 г";"120084";"GREENFIELD чай черный в пакетиках Chocolate Toffee 25 шт"
"GREENFIELD чай черный в пакетиках Clasic Breakfast 100 шт;GREENFIELD чай черный в пакетиках Earl Grey 25 шт;GREENFIELD чай черный в пакетиках Golden Ceylon 25 шт";"ITALICA кофе растворимый De Luxe дой-пак 100 г;ITALICA кофе растворимый дой-пак 100 г;ITALICA кофе растворимый дой-пак 75 г";"120085";"GREENFIELD чай черный в пакетиках Christnas Mystery 25 шт"
"GREENFIELD чай черный в пакетиках Classic Breakfast 25 шт;GREENFIELD чай черный в пакетиках Earl Grey Fantasy 100 шт;GREENFIELD чай черный в пакетиках Kenyan Sunrise 100 шт";"ITALICA кофе растворимый дой-пак 100 г;ITALICA кофе растворимый дой-пак 180 г;ITALICA кофе в зернах дой-пак 250 г";"120086";"GREENFIELD чай черный в пакетиках Clasic Breakfast 100 шт"
