"Артикул";"Цена_Закупочная"
"410245";"349"
"410246";"521"
"410247";"84"
"410248";"684"
"410249";"983"
"410250";"1359"
"410251";"419"
"410252";"1359"
"410253";"243"
"410254";"349"
"410255";"521"
"410256";"84"
"410257";"684"
"410258";"81"
"410259";"521"
"410260";"81"
"410261";"243"
"410262";"349"
"410263";"521"
"410264";"84"
"410265";"470"
"410266";"363"
"410267";"374"
"410268";"227"
"410269";"239"
"410270";"227"
"410271";"594"
"410272";"83"
"410273";"461"
"410274";"61"
"410275";"154"
"410276";"239"
"410277";"54"
"410278";"137"
"410279";"235"
"410280";"358"
"410281";"54"
"410282";"461"
"410283"
"410284";"37"
"410285";"1503"
"410286";"25"
"410287";"83"
"410288";"166"
"410289";"31"
"410290";"484"
"410291";"89"
"410292";"236"
"410293";"272"
"410294";"484"
"410295";"101"
"410296";"166"
"410297";"44"
"410298";"386"
"410299";"138"
"410300";"26"
"410301";"212"
"410302";"390"
"410303";"476"
"410304";"177"
"410305";"43"
"410306";"257"
"410307"
"410308";"420"
"410309";"684"
"410310";"257"
"410311";"1115"
"410312";"257"
"410313";"43"
"410314";"420"
"410315";"684"
"410316";"170"
"410317";"168"
"410318";"41"
"410319";"177"
"410320";"43"
"410321";"126"
"410322";"126"
"410323";"199"
"410324";"199"
"410325";"362"
"410326";"41"
"410327";"130"
"410328";"362"
"410329";"33"
"410330";"501"
"410331"
"410332";"28"
"410333";"199"
"410334";"41"
"410335";"34"
"410336";"130"
"410337";"33"
"410338";"369"
"410339";"31"
"410340";"213"
"410341";"31"
"410342";"31"
"410343";"91"
"410344"
"410345"
"410346"
"410347"
"410348"
"410349";"608"
"410350";"608"
"410351";"331"
"410352";"608"
"410353";"817"
"410354";"331"
"410355";"359"
"410356";"368"
"410357";"447"
"410358";"447"
"410359";"447"
"410360";"640"
"410361";"447"
"410362";"447"
"410363";"447"
"410364";"447"
"410365";"447"
"410366";"640"
"410367";"640"
"410368";"91"
"410369";"91"
"410370";"64"
"410371";"64"
"410372";"210"
"410373";"210"
"410374";"48"
"410375";"274"
"410376";"289"
"410377";"278"
"410378";"387"
"410379";"142"
"410380";"278"
"410381";"387"
"410382";"142"
"410383";"163"
"410384";"301"
"410385";"44"
"410386";"419"
"410387";"582"
"410388";"898"
"410389";"898"
"410390";"163"
"410391";"301"
"410392";"44"
"410393";"419"
"410394";"582"
"410395";"39"
"410396";"82"
"410397";"163"
"410398"
"410399";"44"
"410400";"39"
"410401";"163"
"410402";"301"
"410403"
"410404";"39"
"410405"
"410406"
"410407";"42"
"410408";"419"
"410409";"39"
"410410";"39"
"410411";"210"
"410412";"210"
"410413";"41"
"410414"
"410415";"210"
"410416";"41"
"410417";"815"
"410418";"815"
"410419";"570"
"410420";"815"
"410421";"570"
"410422";"570"
"410423";"570"
"410424";"570"
"410425";"570"
"410426";"570"
"410427";"570"
"410428";"570"
"410429";"570"
"410430";"1065"
"410431";"2155"
"410432";"570"
"410433";"570"
"410434";"570"
"410435";"815"
"410436";"570"
"410437";"2155"
"410438";"570"
"410439";"570"
"410440";"570"
"410441";"98"
"410442"
"410443";"223"
"410444";"223"
"410445";"294"
"410446";"185"
"410447";"315"
"410448";"31"
"410449";"360"
"410450";"27"
"410451";"121"
"410452";"207"
"410453";"47"
"410454";"542"
"410455";"315"
"410456";"31"
"410457";"121"
"410458";"207"
"410459";"47"
"410460";"27"
"410461";"115"
"410462";"257"
"410463";"41"
"410464";"1115"
"410465";"257"
"410466";"961"
"410467";"57"
"410468";"961"
"410469";"57"
"410470";"210"
"410471";"559"
"410472";"229"
"410473";"289"
"410474";"428"
"410475";"229"
"410476";"289"
"410477";"428"
"410478";"229"
"410479";"289"
"410480";"428"
"410481";"182"
"410482"
"410483";"428"
"410484";"559"
"410485";"182"
"410486";"289"
"410487";"428"
"410488";"503"
"410489";"559"
"410490";"289"
"410491";"428"
"410492";"210"
"410493";"277"
"410494";"515"
"410495";"428"
"410496";"76"
"410497";"559"
"410498";"782"
"410499";"210"
"410500";"277"
"410501";"428"
"410502";"76"
"410503";"559"
"410504";"782"
"410505";"221"
"410506"
"410507";"428"
"410508";"1061"
"410509";"210"
"410510"
"410511";"428"
"410512";"72"
"410513";"559"
"410514";"76"
"410515";"277"
"410516";"428"
"410517";"515"
"410518";"494"
"410519";"295"
"410520";"395"
"410521";"295"
"410522";"236"
"410523"
"410524"
"410525"
"410526"
"410527"
"410528"
"410529";"10"
"410530"
"410531";"16"
"410532";"20"
"410533";"24"
"410534";"28"
"410535";"21"
"410536";"21"
"410537";"26"
"410538";"23"
"410539"
"410540";"13"
"410541";"195"
"410542";"17"
"440100";"89"
"440101";"46"
"440102";"49"
"440103";"156"
"440104";"156"
"440105";"156"
"440106";"169"
"440107";"176"
"440108";"108"
"440109";"142"
"440110";"48"
"440111"
"440112";"65"
"440113";"56"
"440114";"65"
"440115";"79"
"440116"
"440117";"155"
"440118";"125"
"440119";"223"
"440120";"136"
"440121";"107"
"440122";"136"
"440123";"35"
"440124";"35"
"440125";"29"
"440126";"48"
"440127";"48"
"440128";"47"
"440129";"188"
"440130";"211"
"440131";"301"
"440132";"240"
"440133";"172"
"440134";"254"
"440135";"240"
"440136";"226"
"440137";"138"
"440138";"46"
"440139";"86"
"440140";"86"
"440141";"138"
"440142";"116"
"440143";"210"
"440144";"210"
"440145";"55"
"440146";"195"
"440147";"240"
"440148";"177"
"440149";"118"
"440150";"82"
"440151";"82"
"440152";"210"
"440153";"81"
"430286";"342"
"430287"
"430288";"180"
"430289";"164"
"430290";"119"
"430291";"1198"
"430292";"81"
"430293";"88"
"430294";"88"
"430295";"232"
"430296";"231"
"430297";"141"
"430298";"413"
"430299";"276"
"430300";"193"
"430301";"229"
"430302";"175"
"430303";"122"
"430304";"28"
"430305";"30"
"430306";"140"
"430307";"128"
"430308";"190"
"430309";"27"
"430310";"78"
"430311";"436"
"430312";"61"
"430313";"114"
"430314"
"430315";"33"
"430316"
"430317";"53"
"430318";"115"
"430319";"138"
"430320";"127"
"430321";"315"
"430322";"262"
"430323";"233"
"430324";"129"
"430325";"278"
"430326";"307"
"430327";"129"
"430328";"79"
"430329";"287"
"430330";"139"
"430331";"114"
"430332";"159"
"430333";"93"
"430334";"27"
"430335";"147"
"430336";"329"
"430337";"238"
"430338";"285"
"430339";"32"
"430340";"32"
"430341";"46"
"430342";"227"
"430343";"52"
