"Рекомендуемые товары";"Сопутствующие товары";"Артикул";"Короткое название"
"ДОБРОФЛОТ Сайра Тихоокеанская Натуральная 245 г;LORADO фрукты консервированные Ананас Шайбы в сиропе 580 мл";"CALVE соус Сырный 230 г;CALVE соус Сальса 230 г;CALVE соус С Лесными грибами 230 г";"160031";"КУБАНОЧКА кукуруза сладкая 425 мл"
"ДОБРОФЛОТ Сардина Тихоокеанская ИВАСИ Натуральная 245 г;LORADO фрукты консервированные Ананас Шайбы в сиропе 850 мл";"CALVE соус Сливочно-чесночный 230 г;CALVE соус Сырный 230 г;CALVE соус Сальса 230 г";"160032";"КУБАНОЧКА лечо по-болгарски 720 мл"
"ДОБРОФЛОТ Скумбрия Дальневосточная Натуральная с Добавлением Масла 245 г;LORADO фрукты консервированные Груши Половинки в сиропе 850 мл";"CALVE соус Тартар 230 г;CALVE соус Сливочно-чесночный 230 г;CALVE соус Сырный 230 г";"160033";"КУБАНОЧКА огурцы маринованые 1,6 кг"
"ДОБРОФЛОТ Тунец кусковой натуральный 185 гр;LORADO фрукты консервированные Коктейль Тропический в сиропе 850 мл";"CALVE соус Тысяча островов 230 г;CALVE соус Тартар 230 г;CALVE соус Сливочно-чесночный 230 г";"160034";"КУБАНОЧКА огурцы маринованые 9-11 см 680 мл"
"ДОБРОФЛОТ Тунец рубленный натуральный в масле 185 гр;LORADO малина дробленая с сахаром 370 мл";"CALVE соус Укропный с огурчиками 230 г;CALVE соус Тысяча островов 230 г;CALVE соус Тартар 230 г";"160036";"КУБАНОЧКА овощи запеченные на мангале 620 г"
"КАПИТАН МОРЕЙ Бычки обжаренные в томатном соусе 240 гр;LORADO персики половинки в сиропе 850 г";"ДАРЫ КУБАНИ Аджика Острая 350 г;CALVE соус Укропный с огурчиками 230 г;CALVE соус Тысяча островов 230 г";"160037";"КУБАНОЧКА томаты маринованные 1,6 л"
"КАПИТАН МОРЕЙ Кальмар натуральный 250 г;LORADO варенье Абрикосовое 370 мл";"ДАРЫ КУБАНИ Соус гузинский 300 г;ДАРЫ КУБАНИ Аджика Острая 350 г;CALVE соус Укропный с огурчиками 230 г";"160039";"КУБАНОЧКА томаты в томатном соке 720 мл"
"КАПИТАН МОРЕЙ Килька балтийская обжаренная в томатном соусе 240 гр;LORADO ягоды консервированные Клубника в сиропе 425 мл";"ДАРЫ КУБАНИ Соус гузинский 350 г;ДАРЫ КУБАНИ Соус гузинский 300 г;ДАРЫ КУБАНИ Аджика Острая 350 г";"160040";"LORADO фасоль консервированная 425 мл"
"КАПИТАН МОРЕЙ печень трески 230 г;ПАПРИЧИ сироп Лимонный 330 мл";"DOLMIO соус C Ароматными Травами 210 г;ДАРЫ КУБАНИ Соус гузинский 350 г;ДАРЫ КУБАНИ Соус гузинский 300 г";"160041";"LORADO фасоль красная 425 мл"
"КАПИТАН МОРЕЙ Сельдь атлантическая натуральная с добавлением масла 250 гр;ПАПРИЧИ сироп Малиновый 330 мл";"DOLMIO соус Для Макарон с баклажаном и чесноком 350 г;DOLMIO соус C Ароматными Травами 210 г;ДАРЫ КУБАНИ Соус гузинский 350 г";"160042";"LORADO горошек консервированный 425 мл"
"КАПИТАН МОРЕЙ шпроты в масле 160 г;ПАПРИЧИ сироп Вишневый 330 мл";"DOLMIO соус Для Макарон с базиликом 350 г;DOLMIO соус Для Макарон с баклажаном и чесноком 350 г;DOLMIO соус C Ароматными Травами 210 г";"160043";"LORADO грибы маринованные Грибной Бочонок 314 мл"
"КАПИТАН МОРЕЙ шпроты в масле 240 г;ПАПРИЧИ сироп Клубничный 330 мл";"DOLMIO соус Для Макарон с оливками 350 г;DOLMIO соус Для Макарон с базиликом 350 г;DOLMIO соус Для Макарон с баклажаном и чесноком 350 г";"160044";"LORADO грибы маринованные Грузди 314 мл"
"КАПИТАН МОРЕЙ Тунец натуральный 250 г;LORADO персики половинки в сиропе 0,43 л";"DOLMIO соус Для Макарон с острым перцем 350 г;DOLMIO соус Для Макарон с оливками 350 г;DOLMIO соус Для Макарон с базиликом 350 г";"160045";"LORADO грибы маринованные Опята 314 мл"
"МАЯК икра сельди 125 г;ГРОДФУД Паштет индюшиный печеночный 100 гр";"DOLMIO соус Для Макарон со сладким перцем 350 г;DOLMIO соус Для Макарон с острым перцем 350 г;DOLMIO соус Для Макарон с оливками 350 г";"160046";"LORADO икра кабачковая 500 г"
"ОТ ИВАНЫЧА килька черноморская неразделанная в томатном соусе 240 г;ГРОДФУД Паштет Куриный Печеночный 100 г";"DOLMIO соус Песто с базиликом 180 г;DOLMIO соус Для Макарон со сладким перцем 350 г;DOLMIO соус Для Макарон с острым перцем 350 г";"160047";"LORADO корнишоны маринованные 3-6 см 370 мл"
"РЫБНОЕ МЕНЮ Килька балтийская неразделанная в томатном соусе 230 гр;ГРОДФУД тушеная говядина 338 г";"DOLMIO соус С Ароматными Травами 210 г;DOLMIO соус Песто с базиликом 180 г;DOLMIO соус Для Макарон со сладким перцем 350 г";"160048";"LORADO корнишоны маринованные 3-6 см 720 мл"
"РЫБНОЕ МЕНЮ Сардина атлантическая натуральная с добавлением масла 230 гр;ГРОДФУД Тушеная Свинина 338 г";"DOLMIO соус С Грибами 350 г;DOLMIO соус С Ароматными Травами 210 г;DOLMIO соус Песто с базиликом 180 г";"160049";"LORADO маслины черные без косточек 314 мл"
"РЫБНОЕ МЕНЮ Сардинелла натуральная с добавлением масла 230 гр;ГРОДФУД Ветчина Европейская 110 г";"DOLMIO соус С Луком и Чесноком 210 г;DOLMIO соус С Грибами 350 г;DOLMIO соус С Ароматными Травами 210 г";"160050";"LORADO маслины черные с косточками 314 мл"
"РЫБНОЕ МЕНЮ Шпроты в масле из балтийской кильки 160 гр;ECOFOOD Долма армянская из говядины 460 г";"DOLMIO соус С Луком и Чесноком 350 г;DOLMIO соус С Луком и Чесноком 210 г;DOLMIO соус С Грибами 350 г";"160051";"LORADO огурцы маринованные 6-9 см 720 мл"
