"Артикул";"Цена_Трансазия";"Цена_Розничная";"Перечеркнутая цена";"Оценка товарного запаса"
150078;40;50;;25
150079;36;45;;25
150080;46;58;;25
150081;66;82;;25
150082;32;40;;25
150083;41;51;;25
150084;52;65;;25
150085;29;36;;25
150086;48;60;;25
150087;71;89;;25
150088;47;59;;25
150089;70;88;;25
150090;49;61;;25
150091;63;79;;15
150092;96;120;;25
150093;69;86;;25
150094;61;76;;15
150095;72;90;;15
150096;76;95;;5
150097;47;59;;25
150098;55;69;;5
150101;40;50;;5
150102;103;129;;5
150103;95;119;;25
150104;110;138;;25
150105;97;121;;5
150106;113;141;;5
150107;550;688;;25
150111;55;69;;25
150112;79;99;;25
150113;94;118;;25
150115;108;135;;25
150116;85;106;;25
150118;83;104;;5
150122;135;169;;25
150124;89;111;;15
150125;84;105;;15
150129;72;90;;15
150130;55;69;;25
150132;60;75;;25
150133;104;130;;15
150134;58;72;;25
150135;65;81;;5
150137;77;96;;15
150138;70;88;78;25
150139;154;192;171;25
150140;70;88;78;25
150141;70;88;78;25
150142;77;96;86;25
150143;183;229;;25
150144;70;88;78;25
150145;70;88;;25
150146;70;88;;15
150147;183;229;204;25
150148;70;88;78;25
150149;77;96;86;5
150150;77;96;86;25
150151;70;88;;25
150152;70;88;78;25
150153;70;88;78;5
150154;70;88;78;5
150155;70;88;78;25
150156;50;62;59;25
150157;50;62;59;25
150158;50;62;59;25
150159;50;62;59;25
150160;72;90;84;25
150161;50;62;59;25
150162;50;62;59;25
150163;50;62;59;25
150164;59;74;;25
150165;76;95;;5
150166;76;95;;15
150167;76;95;;5
150168;46;58;;15
150170;45;56;;25
150172;28;35;;25
150173;91;114;;25
150179;45;56;;5
150180;45;56;;25
150181;44;55;;25
150182;44;55;;25
150183;91;114;;25
150184;40;50;;25
150186;40;50;;25
150188;42;52;;5
150191;69;86;91;25
150192;40;50;;25
150193;44;55;;25
150194;47;59;;5
150195;42;52;;5
150196;40;50;;25
150197;44;55;;5
150199;40;50;;25
150200;44;55;;25
150201;61;76;;25
150202;33;41;40;25
150203;45;56;;25
150204;52;65;;25
150205;52;65;;5
150206;52;65;;25
150207;99;124;;25
150208;44;55;;25
150209;45;56;;25
150210;40;50;;5
150211;35;44;;5
150212;29;36;;25
150214;29;36;;25
150217;105;131;;25
150220;81;101;;15
150221;81;101;;25
150223;108;135;;15
150224;108;135;;15
150227;111;139;;25
150229;20;25;;25
150230;20;25;;25
150231;20;25;;25
150232;20;25;;25
150233;20;25;;25
150234;22;28;;5
150235;20;25;;25
150236;48;60;;25
150241;77;96;;5
150246;67;84;;25
150247;34;42;;25
150248;75;94;;15
150249;51;64;;25
150250;99;124;;25
150251;43;54;;25
150252;354;442;;15
150253;83;104;;25
150254;184;230;;25
150255;42;52;;5
150256;58;72;;15
150257;138;172;;25
150258;328;410;;25
150259;204;255;;5
150260;48;60;;5
150261;69;86;;25
150264;113;141;;25
150265;119;149;;25
150269;50;62;103;25
150273;52;65;;25
150274;10;12;;25
150276;111;139;;25
150278;121;151;;25
150279;167;209;;15
150280;111;139;;25
150281;186;232;;25
150283;129;161;;25
150284;131;164;;25
150285;107;134;;25
150286;218;272;;5
150288;332;415;;25
150289;383;479;;5
150290;305;381;;25
150292;241;301;;25
150293;402;502;;15
150294;89;111;;15
150295;75;94;;5
150297;82;102;;5
150301;71;89;;5
150306;63;79;;5
150307;27;34;;5
150308;47;59;;5
150309;50;62;;15
150310;153;191;;5
150311;121;151;;15
150312;121;151;;15
150324;99;124;142;5
150326;99;124;;5
150327;99;124;;15
150328;99;124;;5
150330;45;56;;25
150331;45;56;;5
150332;45;56;;25
150333;121;151;;15
150334;121;151;;15
160010;115;144;;25
160011;29;36;;15
160012;29;36;;5
160013;153;191;;15
160014;145;181;;25
160016;45;56;;5
160017;45;56;;25
160020;80;100;;5
160022;38;48;;5
160024;38;48;;5
160025;38;48;;5
160027;50;62;;15
160029;44;55;49;5
160030;49;61;;5
160031;46;58;;15
160032;59;74;;5
160033;132;165;;5
160034;73;91;;5
160036;107;134;;5
160037;102;128;;5
160039;61;76;;5
160040;44;55;;25
160041;41;51;;25
160044;68;85;;5
160045;74;92;;15
160046;54;68;;25
160048;90;112;;5
160049;69;86;;25
160051;71;89;;5
160052;85;106;;25
160053;87;109;;15
160054;87;109;;5
160055;87;109;;25
160056;85;106;;5
160057;468;585;;25
160060;67;84;;15
160061;94;118;;25
160062;125;156;;25
160063;59;74;;25
160065;89;111;;25
160067;86;108;;5
160068;68;85;;5
160069;66;82;;15
160071;117;146;;5
160072;53;66;;5
160073;81;101;;25
160074;38;48;;5
160076;48;60;;25
160077;66;82;;25
160079;70;88;;5
160080;49;61;;15
160081;50;62;;15
160082;23;29;;25
160084;58;72;;5
160089;69;86;;25
160090;108;135;;25
160091;138;172;;15
160092;114;142;;25
160093;147;184;;15
160094;113;141;;25
160098;137;171;;25
160101;68;85;;25
160102;68;85;;5
160103;68;85;;25
160105;58;72;;25
160106;68;85;;15
170011;114;142;;25
170012;114;142;;25
170013;68;85;;25
170014;106;132;;25
170015;46;58;;5
170016;109;136;;25
170017;46;58;;25
170018;46;58;;25
170019;46;58;;25
170020;106;132;;25
170021;46;58;;25
170022;106;132;;25
170023;50;62;;25
170024;104;130;146;25
170025;104;130;;25
170026;217;271;289;25
170027;71;89;;25
170028;71;89;;25
170029;71;89;;25
170030;71;89;;25
170031;71;89;;25
170032;71;89;;25
170033;63;79;;25
170035;65;81;;25
170036;65;81;;25
170038;65;81;;25
170039;65;81;;25
170040;65;81;;25
170041;63;79;;25
170042;65;81;;25
170043;65;81;;15
170047;42;52;;5
170048;65;81;;25
170049;109;136;;15
170050;109;136;;15
170052;99;124;;15
170053;109;136;;15
170054;231;289;;15
170055;65;81;;25
170056;99;124;;25
170057;65;81;;25
170058;99;124;;15
170059;65;81;;25
170060;75;94;;25
170062;75;94;;25
170063;88;110;;25
170065;75;94;;25
170066;75;94;;25
170067;75;94;;25
170068;191;239;;25
170071;117;146;;25
170072;143;179;;25
170073;76;95;;25
170074;126;158;;25
170075;76;95;;25
170076;76;95;;25
170077;126;158;;25
170078;126;158;;25
170079;76;95;;25
170080;76;95;;25
170081;76;95;;25
170082;118;148;;25
170083;76;95;;25
170084;267;334;;25
170095;31;39;;25
170096;31;39;;25
170102;62;78;;15
170103;62;78;;25
170104;53;66;;25
170105;64;80;;25
170107;108;135;;25
170108;32;40;;25
170110;78;98;;25
170111;78;98;;25
170112;27;34;;25
170113;56;70;;25
170114;79;99;;25
170115;34;42;;25
170116;60;75;;25
170117;108;135;;25
170118;37;46;;25
170119;67;84;;25
170120;60;75;;25
170121;23;29;;5
170126;66;82;;5
170128;25;31;;25
170129;25;31;;25
170131;27;34;;25
170132;64;80;;5
170133;27;34;;15
170134;45;56;;5
170135;25;31;;25
170137;45;56;;25
170138;45;56;;25
170139;30;38;;25
170140;30;38;;15
170141;44;55;;25
170142;45;56;;25
170143;45;56;;25
170144;45;56;;25
170145;30;38;;25
170146;45;56;;25
170147;45;56;;25
170148;30;38;;25
170149;30;38;;25
170150;45;56;;25
170151;45;56;;25
170152;45;56;;25
170153;45;56;;25
170154;45;56;;25
170155;45;56;;25
170156;45;56;;25
170157;29;36;;25
170158;18;22;;25
170159;35;44;;25
170160;16;20;;5
170161;16;20;;5
170162;16;20;;25
170165;37;46;;25
170167;35;44;;25
170170;37;46;;25
170171;70;88;;25
170173;70;88;;25
170174;63;79;;15
170176;99;124;;15
170177;99;124;;15
170178;140;175;;25
170180;32;40;;15
170181;45;56;;25
170182;32;40;;5
170183;40;50;;25
170185;41;51;;25
170186;33;41;;25
170187;41;51;;15
170188;32;40;;25
170189;18;22;;5
170190;18;22;;15
170191;70;88;;25
170192;68;85;;25
170193;25;31;;25
170195;40;50;48;25
170196;40;50;48;25
170197;40;50;48;25
170198;44;55;;25
170199;44;55;;5
170202;50;62;;25
170204;25;31;;25
170206;76;95;;15
170208;353;441;;25
170209;286;358;;25
170210;279;349;;25
170212;103;129;;25
170213;85;106;;25
170214;83;104;;5
170217;60;75;;5
170218;40;50;;5
170219;72;90;;25
170220;99;124;;5
170221;96;120;;25
170222;390;488;;25
170223;66;82;;25
170224;27;34;;25
170225;15;19;;25
170228;83;104;;5
170230;115;144;;25
170231;177;221;;25
170232;115;144;;25
170233;961;1201;1233;15
170234;21;26;25;25
170235;51;64;;25
170236;51;64;;25
170237;51;64;;25
170238;51;64;;25
170239;45;56;;25
170240;12;15;;25
170241;78;98;;25
170242;41;51;;25
170243;41;51;;25
170244;126;158;;25
170245;126;158;;25
170247;86;108;;25
170248;97;121;;25
170249;27;34;;25
170250;29;36;;25
170251;54;68;;5
170252;155;194;;15
170254;17;21;;5
170255;17;21;;5
170256;29;36;;5
170259;147;184;;25
170262;93;116;;25
170264;41;51;;25
170265;47;59;;25
170266;50;62;;25
170267;89;111;;5
170268;88;110;;15
170269;89;111;;5
170270;86;108;;5
170271;78;98;;5
170272;50;62;;25
170273;50;62;;5
170274;49;61;;5
170275;49;61;;25
170276;49;61;;25
170277;72;90;;5
170278;117;146;;15
170279;533;666;;25
170280;524;655;;25
170281;395;494;;25
170282;292;365;;25
170283;269;336;;25
170284;284;355;;25
170285;217;271;;25
170286;276;345;;25
170287;322;402;486;25
170288;531;664;;5
170289;159;199;;5
170290;439;549;;25
170291;321;401;;25
170292;303;379;;25
170293;297;371;;25
170294;298;372;;25
170295;9;11;;25
170297;249;311;;15
170298;227;284;;15
170299;249;311;;15
170300;148;185;;25
170301;65;81;;25
170302;183;229;;15
170304;118;148;;25
170305;92;115;;25
170306;92;115;;15
170307;117;146;;25
170308;75;94;;25
170309;199;249;;25
170310;150;188;;25
170311;221;276;;25
170312;39;49;;5
170313;29;36;;5
170315;234;292;;25
170316;246;308;;25
170317;235;294;;25
170318;84;105;;15
170319;68;85;;25
170320;84;105;;25
170321;38;48;;25
170322;203;254;;25
170323;88;110;;25
170324;203;254;;25
170325;170;212;;5
170326;58;72;;25
170328;203;254;;25
170329;76;95;;25
170330;102;128;;25
170331;46;58;;25
170333;78;98;;25
170334;38;48;;25
170335;65;81;;25
170336;65;81;;25
170337;76;95;;25
170338;37;46;;25
170339;75;94;;25
170340;50;62;;15
170343;23;29;46;25
170344;169;211;;5
170346;68;85;;15
170349;45;56;;5
170350;27;34;;25
170351;30;38;;15
170352;25;31;;5
170353;23;29;;5
170354;21;26;;25
170355;25;31;;5
170357;298;372;;25
170358;121;151;;25
170359;48;60;;25
170360;52;65;;25
170363;32;40;;25
170364;18;22;;5
170365;27;34;;25
170366;18;22;;15
170367;25;31;;5
170368;16;20;;5
170369;16;20;;25
170370;16;20;;25
170371;16;20;;25
170372;16;20;;5
170373;16;20;;15
180010;94;118;;15
180011;75;94;;5
180012;79;99;;25
180013;28;35;;25
180014;29;36;;5
180015;96;120;;5
180016;65;81;;5
180017;153;191;;25
180018;258;322;;25
180019;150;188;;25
180020;502;628;;15
180021;408;510;;25
180023;266;332;;25
180024;127;159;;25
180025;127;159;;25
180026;113;141;;25
180027;113;141;;25
180028;58;72;97;25
180029;46;58;;25
180030;97;121;;25
180031;34;42;;25
180032;34;42;;25
180033;23;29;;25
180034;34;42;;25
180035;23;29;;25
180036;34;42;;25
180037;34;42;;25
180038;25;31;;25
180039;83;104;;5
180040;75;94;;25
210010;367;459;;25
210011;642;802;;25
210012;719;899;;5
210013;392;490;;25
210014;384;480;;25
210017;44;55;;25
210019;241;301;;25
210020;599;749;;25
210021;273;341;;5
210022;311;389;;25
210025;925;1156;;15
210026;83;104;;5
210028;719;899;;15
210029;5221;6526;;5
210030;181;226;;25
210031;919;1149;;25
210032;803;1004;;25
210033;1441;1801;;15
210034;661;826;;15
210035;661;826;;15
210036;421;526;;25
210037;313;391;;25
210038;539;674;;15
210039;539;674;;15
210040;706;882;;25
210041;947;1184;;25
210042;608;760;;25
210043;491;614;;25
210044;136;170;;15
210045;226;282;;15
210046;383;479;;25
210047;435;544;;25
210048;600;750;;25
210049;462;578;;25
210050;108;135;;25
210051;119;149;;25
210052;47;59;;25
210053;47;59;;25
210054;160;200;;5
210055;115;144;;25
210056;115;144;;25
220010;43;54;;25
220011;25;31;;25
220014;35;44;;25
220015;44;55;;25
220016;56;70;;15
220017;60;75;;5
220018;58;72;;25
220019;41;51;;25
220020;89;111;;5
220023;51;64;;25
220024;69;86;;5
220025;69;86;;5
220026;61;76;;15
220027;70;88;;25
220028;56;70;;25
220029;60;75;;25
220030;60;75;;25
220032;78;98;;25
220033;90;112;;25
230012;111;139;;25
230013;86;108;;25
230014;100;125;;25
230015;100;125;;25
230017;171;214;;25
230019;82;102;;25
230020;79;99;;25
230021;79;99;;25
230022;79;99;;25
230023;79;99;;5
230024;79;99;;25
230025;79;99;;5
230026;79;99;;25
230029;79;99;;25
230031;119;149;;15
230032;88;110;;5
230035;207;259;;25
240010;37;46;;25
240011;201;251;;15
240012;1313;1641;;15
240014;166;208;;15
240015;208;260;;5
240017;357;446;;25
240018;31;39;;25
240020;57;71;;25
240021;49;61;;25
240022;20;25;;25
240023;20;25;;25
240024;319;399;456;25
240025;410;512;586;15
240026;639;799;1065;15
240027;419;524;599;5
240028;391;489;;15
240029;593;741;848;15
240030;1053;1316;1755;25
240031;1141;1426;2282;25
240033;690;862;1150;25
240034;446;558;638;15
240035;556;695;795;25
240036;1209;1511;2418;25
240037;914;1142;1828;25
240038;299;374;;25
240039;82;102;;25
240040;225;281;322;25
240042;100;125;143;25
240043;207;259;;25
240044;240;300;343;25
240046;433;541;;25
240047;633;791;;5
240048;86;108;;25
240048;67;84;;25
240049;153;191;;25
240050;218;272;;25
240052;292;365;;25
240053;433;541;;25
240055;86;108;;25
240055;67;84;;25
240056;153;191;;25
240057;218;272;;25
240059;292;365;;25
240060;213;266;;25
240061;293;366;;25
240063;72;90;;25
240064;365;456;;25
240065;365;456;;25
240066;228;285;;25
240067;228;285;;25
240068;98;122;;25
240069;86;108;;25
240070;86;108;;25
240071;86;108;;25
240072;187;234;;15
240073;172;215;;25
240074;663;829;;5
240075;663;829;;5
240077;79;99;;25
240078;79;99;;25
240080;144;180;;25
240081;215;269;;25
240083;106;132;;25
240084;207;259;;25
240085;106;132;;25
240086;207;259;;15
240087;144;180;;25
240088;73;91;;25
240089;54;68;;25
240090;54;68;;25
240091;67;84;;25
240092;99;124;;25
240093;74;92;;25
240094;74;92;;25
250010;2719;3399;;25
250011;297;371;;25
250012;297;371;;25
250013;297;371;;25
250014;259;324;430;25
250015;168;210;289;25
250016;318;398;385;15
250017;282;352;373;25
250019;96;120;113;25
250020;187;234;268;25
250021;124;155;178;25
250022;40;50;;25
250023;10;12;;25
250024;54;68;;25
250025;41;51;;25
250026;32;40;;25
250027;22;28;;25
250028;27;34;;25
250029;13;16;;25
250030;37;46;;25
250031;87;109;;25
250032;21;26;;25
250033;72;90;;25
250034;42;52;;25
250035;55;69;;25
250036;54;68;;25
250037;35;44;;25
250039;25;31;;25
250040;20;25;;25
250041;14;18;;25
250043;24;30;;25
250044;54;68;;25
250045;36;45;;25
250046;109;136;;25
250048;36;45;;25
250049;26;32;;25
250050;50;62;;25
250051;59;74;;25
250052;94;118;;25
250054;59;74;;25
250055;186;232;;25
250056;168;210;;25
250057;100;125;;25
250058;175;219;;25
250059;64;80;;25
250060;46;58;;25
250061;32;40;;5
250062;144;180;;25
250063;36;45;;25
250064;114;142;;25
250065;59;74;;25
250066;46;58;;25
250068;44;55;;25
250069;104;130;;25
250070;484;605;;15
250071;153;191;;25
250072;101;126;;25
250073;310;388;;15
250074;33;41;;25
250075;24;30;;25
250079;25;31;;25
250081;346;432;;25
250082;50;62;;25
250083;77;96;;25
250085;160;200;;25
250086;104;130;;25
250087;112;140;;25
250088;44;55;;25
250093;51;64;;5
250094;51;64;;15
250097;36;45;;15
250098;36;45;;25
250103;124;155;;25
250104;124;155;;25
250105;406;508;;25
250106;406;508;;25
250107;406;508;;25
250108;509;636;;25
250109;36;45;;25
250110;36;45;;25
250111;36;45;;25
250112;85;106;;25
250113;48;60;;25
250114;67;84;;5
250116;88;110;;15
250118;63;79;;25
250119;37;46;;25
250120;189;236;;25
250123;52;65;;15
250124;76;95;;25
250125;62;78;;25
250126;77;96;;25
250127;41;51;;25
250128;110;138;;25
250129;189;236;;25
250131;262;328;;25
250132;29;36;;25
250133;128;160;;25
250134;48;60;;25
250135;37;46;;25
250137;58;72;;25
250140;48;60;;25
250141;48;60;;25
250142;48;60;;25
250143;61;76;;25
250144;61;76;;25
250145;61;76;;25
250146;160;200;;25
250147;160;200;;25
250148;120;150;;25
250149;120;150;;25
250150;120;150;;15
250151;45;56;;25
250152;185;231;;25
250153;530;662;;25
250155;1985;2481;;15
250156;1836;2295;;15
250157;66;82;;25
250158;961;1201;;25
250159;308;385;;25
250160;86;108;;25
250161;923;1154;;25
250162;159;199;;25
250164;83;104;;25
250165;214;268;;25
250166;219;274;;25
250167;2719;3399;;25
250168;36;45;;25
250169;128;160;;25
250171;134;168;;25
250174;307;384;;15
250175;70;88;;25
250176;163;204;;15
250177;815;1019;;25
250178;276;345;;25
250179;120;150;;25
250180;84;105;;25
250181;61;76;;25
250182;390;488;;25
250183;148;185;;25
250184;148;185;;25
250185;24;30;;5
250187;33;41;;5
250188;82;102;;25
250189;160;200;;25
250190;67;84;;25
250191;67;84;;25
250192;132;165;;25
250193;452;565;;25
250194;147;184;;25
250195;111;139;;25
250196;710;888;;15
250197;77;96;;25
250198;223;279;;25
250199;94;118;;5
250200;61;76;;25
250201;226;282;323;5
250202;403;504;;5
250203;234;292;;5
250204;608;760;;25
250205;410;512;;5
250206;217;271;;5
250207;172;215;;25
250208;1754;2192;;15
250209;277;346;;25
250210;179;224;;25
310011;48;60;;25
310013;189;236;;25
310014;189;236;;25
310015;231;289;;25
310016;23;29;;5
310017;24;30;;15
310018;43;54;;5
310020;50;62;;25
310021;53;66;;25
310024;151;189;212;15
310026;50;62;;15
310027;50;62;;25
310029;154;192;;25
310032;187;234;;25
310033;129;161;162;25
310034;149;186;187;25
310035;68;85;;25
310036;68;85;;25
310037;68;85;;25
310038;68;85;;15
310039;68;85;;25
310040;68;85;;25
310041;68;85;;25
310042;146;182;183;5
310043;132;165;183;5
310044;183;229;;5
310045;205;256;;5
310047;217;271;257;5
310048;180;225;227;15
310049;34;42;;25
310050;34;42;;25
310051;34;42;;25
310052;34;42;;25
310053;24;30;;25
310054;24;30;;25
310055;39;49;;25
310056;31;39;;25
310057;29;36;;25
310058;28;35;;25
310059;23;29;30;25
310060;23;29;30;25
310061;23;29;30;25
310062;28;35;;25
310063;31;39;;25
310064;116;145;;25
310065;75;94;;25
310066;68;85;;25
310067;52;65;70;25
310068;69;86;;25
310069;116;145;;25
310070;68;85;;25
310071;116;145;;25
310072;68;85;;25
310074;30;38;;25
310075;30;38;;25
310076;30;38;;25
310077;34;42;;25
310078;30;38;;25
310079;65;81;82;25
310080;65;81;82;25
310081;65;81;82;25
310082;41;51;;25
310083;92;115;109;25
310084;92;115;109;15
310085;108;135;;25
310086;92;115;109;25
310087;116;145;137;25
