Категории;Основная категория;Показывать товар;Артикул;Фотографии;Описание товара;Цена_Розничная;Короткое название;Характеристики;Бренд;Цена_Зачеркнутая
Продукты/Бакалея/Снеки, чипсы;Продукты/Бакалея/Снеки, чипсы;1;150331;/storage/photo/original/f/sen-soy-chipsi-nori-original-iz-morskoj-kapusti-45-g.jpg;Чипсы «Нори» - популярная корейская легкая закуска из морской водоросли. Продукт для тех, кто трепетно относится к своему здоровью и заботится о стройной фигуре. Хрустящие пластинки нори, обжаренные на кунжутном масле, прекрасно утоляют голод и сохраняют все исключительные свойства морских водорослей. Вкусные и полезные они содержат растительный протеин, йод, железо, кальций, фосфор а также витамины А, В и С.;45;SEN SOY чипсы нори Original из морской капусты 4,5 г;"(Характеристики товара)Тип товара:Чипсы из морской капусты;
(Характеристики товара)Бренд:SEN SOY;
(Характеристики товара)Серия:Изюминка Азии;
(Характеристики товара)Страна происхождения:Корея, республика;
(Характеристики товара)EAN:4607041133795;
(Характеристики товара)Вес:4,5 г";SEN SOY;
Продукты/Бакалея/Снеки, чипсы;Продукты/Бакалея/Снеки, чипсы;1;150332;/storage/photo/original/f/sen-soy-chipsi-nori-wasabi-iz-morskoj-kapusti-45-g.jpg;Чипсы «Нори» - популярная корейская легкая закуска из морской водоросли. Продукт для тех, кто трепетно относится к своему здоровью и заботится о стройной фигуре. Хрустящие пластинки нори, обжаренные на кунжутном масле, прекрасно утоляют голод и сохраняют все исключительные свойства морских водорослей. Вкусные и полезные они содержат растительный протеин, йод, железо, кальций, фосфор а также витамины А, В и С.;45;SEN SOY чипсы нори Wasabi из морской капусты 4,5 г;"(Характеристики товара)Тип товара:Чипсы из морской капусты;
(Характеристики товара)Бренд:SEN SOY;
(Характеристики товара)Серия:Изюминка Азии;
(Характеристики товара)Страна происхождения:Корея, республика;
(Характеристики товара)EAN:4607041135157;
(Характеристики товара)Вес:4,5 г";SEN SOY;
Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;1;140010;/storage/photo/original/f/dirol-zhevatelnaya-rezinka-arbuz-dinya-24x13-g.jpg;В конце 60-х 20-го столетия впервые появился продукт, без которого сейчас уже сложно представить современную динамичную жизнь. Он быстро стал незаменимым атрибутом каждого дня, и, выходя из дома, мы привычным движением кладем его в сумку или карман, чтобы освежить дыхание и взбодриться. Это первая в истории жевательная резинка без сахара, которая была произведена под брендом Dirol;22;DIROL жевательная резинка Арбуз-Дыня 24x13 г;"(Характеристики товара)Тип товара:Жевательная резинка;
(Характеристики товара)Бренд:DIROL;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:46058157;
(Характеристики товара)Объем:24 шт";DIROL;
Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;1;140011;/storage/photo/original/f/dirol-zhevatelnaya-rezinka-lajm-i-marakujya-24x13-g.jpg;В конце 60-х 20-го столетия впервые появился продукт, без которого сейчас уже сложно представить современную динамичную жизнь. Он быстро стал незаменимым атрибутом каждого дня, и, выходя из дома, мы привычным движением кладем его в сумку или карман, чтобы освежить дыхание и взбодриться. Это первая в истории жевательная резинка без сахара, которая была произведена под брендом Dirol;22;DIROL жевательная резинка Лайм и Маракуйя 24x13 г;"(Характеристики товара)Тип товара:Жевательная резинка;
(Характеристики товара)Бренд:DIROL;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:57022765;
(Характеристики товара)Количество:24 шт";DIROL;
Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;1;140012;/storage/photo/original/f/dirol-zhevatelnaya-rezinka-moroznaya-myata-24x13-g.jpg;В конце 60-х 20-го столетия впервые появился продукт, без которого сейчас уже сложно представить современную динамичную жизнь. Он быстро стал незаменимым атрибутом каждого дня, и, выходя из дома, мы привычным движением кладем его в сумку или карман, чтобы освежить дыхание и взбодриться. Это первая в истории жевательная резинка без сахара, которая была произведена под брендом Dirol;22;DIROL жевательная резинка Морозная Мята 24x13 г;"(Характеристики товара)Тип товара:Жевательная резинка;
(Характеристики товара)Бренд:DIROL;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4600815108647;
(Характеристики товара)Количество:24 шт";DIROL;
Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;1;140013;/storage/photo/original/f/dirol-zhevatelnaya-rezinka-sladkaya-myata-24x13-g.jpg;В конце 60-х 20-го столетия впервые появился продукт, без которого сейчас уже сложно представить современную динамичную жизнь. Он быстро стал незаменимым атрибутом каждого дня, и, выходя из дома, мы привычным движением кладем его в сумку или карман, чтобы освежить дыхание и взбодриться. Это первая в истории жевательная резинка без сахара, которая была произведена под брендом Dirol;22;DIROL жевательная резинка Сладкая Мята 24x13 г;"(Характеристики товара)Тип товара:Жевательная резинка;
(Характеристики товара)Бренд:DIROL;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4600815108654;
(Характеристики товара)Количество:24 шт";DIROL;
Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;1;140014;/storage/photo/original/f/dirol-zhevatelnaya-rezinka-x-fresh-myatnaya-svezhest-12x16-g.jpg;В конце 60-х 20-го столетия впервые появился продукт, без которого сейчас уже сложно представить современную динамичную жизнь. Он быстро стал незаменимым атрибутом каждого дня, и, выходя из дома, мы привычным движением кладем его в сумку или карман, чтобы освежить дыхание и взбодриться. Это первая в истории жевательная резинка без сахара, которая была произведена под брендом Dirol;34;DIROL жевательная резинка X-Fresh Мятная Свежесть 12x16 г;"(Характеристики товара)Тип товара:Жевательная резинка;
(Характеристики товара)Бренд:DIROL;
(Характеристики товара)Серия:X-Fresh;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:46164278;
(Характеристики товара)Количество:12 шт";DIROL;
Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;1;140015;/storage/photo/original/f/dirol-zhevatelnaya-rezinka-x-fresh-myatnij-led-12x16-g.jpg;В конце 60-х 20-го столетия впервые появился продукт, без которого сейчас уже сложно представить современную динамичную жизнь. Он быстро стал незаменимым атрибутом каждого дня, и, выходя из дома, мы привычным движением кладем его в сумку или карман, чтобы освежить дыхание и взбодриться. Это первая в истории жевательная резинка без сахара, которая была произведена под брендом Dirol;34;DIROL жевательная резинка X-Fresh Мятный Лед 12x16 г;"(Характеристики товара)Тип товара:Жевательная резинка;
(Характеристики товара)Бренд:DIROL;
(Характеристики товара)Серия:X-Fresh;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:46164285;
(Характеристики товара)Количество:12 шт";DIROL;
Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;1;140016;/storage/photo/original/f/halls-ledenci-colors-25-g.jpg;"Мощный освежающий эффект ""Halls"" возникает благодаря сочетанию ментола и эвкалипта.Он сродни глотку свежего воздуха в любой ситуации, когда это необходимо - бодрит, освежает и позволяет сосредоточиться на главном. ""Halls"" также обладает смягчающим и увлажняющим действием.<br />
В напряженные моменты, когда нужна эмоциональная встряска, когда одолевает усталость, когда просто нужно перевести дыхание - попробуйте ""Halls"" и дышите свободно.";24;HALLS леденцы Colors 25 г;"(Характеристики товара)Тип товара:Леденцы;
(Характеристики товара)Бренд:HALLS;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:46164254;
(Характеристики товара)Вес:25 г";HALLS;
Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;1;140017;/storage/photo/original/f/halls-ledenci-med-s-limonom-25-g.jpg;Halls Мед Лимон не является лекарственным средством, но он помогает справиться как с першением, так и при болях в горле, особенно в первые дни простуды, когда очень трудно глотать. Он отлично снижает раздражение, а также смягчает горло.;24;HALLS леденцы Мед с Лимоном 25 г;"(Характеристики товара)Тип товара:Леденцы;
(Характеристики товара)Бренд:HALLS;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:46164230;
(Характеристики товара)Вес:25 г";HALLS;
Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;1;140018;/storage/photo/original/f/halls-ledenci-mentol-ekstra-25-g.jpg;"Halls Ментол экстра не является лекарственным средством, но он помогает справиться как с першением в горле, так и при болях в горле, особенно в первые дни простуды, когда очень трудно глотать. <br />
Леденцы содержат эвкалиптовое масло, которое благоприятно воздействует на слизистую гортани и смягчает боль в горле, а благодаря мятному вкусу леденцов сразу заметно, как становиться легче дышать.";24;HALLS леденцы Ментол Экстра 25 г;"(Характеристики товара)Тип товара:Леденцы;
(Характеристики товара)Бренд:HALLS;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:46177889;
(Характеристики товара)Вес:25 г";HALLS;
Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;1;140019;/storage/photo/original/f/halls-ledenci-originalnij-25-gr.jpg;Мощный освежающий эффект Halls возникает благодаря сочетанию ментола и эвкалипта. Он сродни глотку свежего воздуха в любой ситуации, когда это необходимо – бодрит, освежает и позволяет сосредоточиться на главном. В напряженные моменты, когда нужна эмоциональная встряска, когда одолевает усталость, когда просто нужно перевести дыхание – попробуйте Halls и дышите свободно. Уважаемые клиенты! Обращаем ваше внимание, что полный перечень состава продукта представлен на дополнительном изображении. Упаковка может иметь несколько видов дизайна. Поставка осуществляется в зависимости от наличия на складе.</p><br>ОСОБЕННОСТИ ПРОДУКТА:;24;HALLS леденцы Оригинальный 25 гр;"(Характеристики товара)Тип товара:Леденцы;
(Характеристики товара)Бренд:HALLS;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:7622210500212;
(Характеристики товара)Количество:1 шт";HALLS;
Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;1;140020;/storage/photo/original/f/mentos-zhevatelnaya-rezinka-fresh-mint-12h155-g.jpg;"<p>
MENTOS - жевательное драже, пользующееся популярностью во всём мире. Насладитесь продолжительной свежестью Mentos чисто свежей в свежей мяте. Доступный в удобной на ходу упаковке, который идеально подходит для вашего стола на работе или в автомобиле.
</p>

Особенности Продукта:
<br>
<li>
Освежающая мята
<li>
Гигиена полости рта
<li>
Свежее дыхание
<li>
Непревзойденный вкус
<br>
Состав:
Силит, основа жевательной резинки, сорбит, маннит, глицерин, сироп Мальтитола, натуральные и искусственные ароматизаторы, содержит менее 2 процентов: гуммиарабик, цвет (диоксид титана), желатин, соевый лецитин, аспартам, ацесульфам К, экстракт зеленого чая, карнаубский воск, сукралоза, натрий карбоксиметилцеллюлоза, БХА для поддержания свежести, эфиры сахарозы жирных кислот, синий 1, Фенилкетонурики: содержит фенилаланин.";21;MENTOS жевательная резинка Fresh Mint 12х15,5 г;"(Характеристики товара)Тип товара:Жевательная резинка;
(Характеристики товара)Бренд:MENTOS;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:46214614;
(Характеристики товара)Количество:12 шт";MENTOS;
Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;1;140021;/storage/photo/original/f/mentos-zhevatelnaya-rezinka-pure-fresh-svezhaya-myata-50-sht.jpg;"Жевательная резинка Mentos Pure Fresh ""Свежая мята"" содержит экстракт зеленого чая для интенсивного ощущения свежести. Теперь в новом, но культовом формате ролла! Уникальный жидкий центр жевательных резинок Pure Fresh доставляет ощущение мгновенного освежения дыхания - надолго.</p><br>ОСОБЕННОСТИ ПРОДУКТА:";166;MENTOS жевательная резинка Pure Fresh Свежая Мята 50 шт;"(Характеристики товара)Тип товара:Жевательная резинка;
(Характеристики товара)Бренд:MENTOS;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:46070326;
(Характеристики товара)Количество:50 шт";MENTOS;
Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;1;140022;/storage/photo/original/f/sula-ledenci-granat-bez-sahara-s-vitaminom-s-60-gr.jpg;Гранат богат аскорбиновой кислотой, другими фруктовыми кислотами, фруктозой и танинами, тонизирует и укрепляет организм, помогает при диабете.</p><br>ОСОБЕННОСТИ ПРОДУКТА:;62;SULA леденцы Гранат без сахара с витамином С 60 гр;"(Характеристики товара)Тип товара:Леденцы;
(Характеристики товара)Бренд:SULA;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4601798060946";SULA;
Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;1;140023;/storage/photo/original/f/tic-tac-drazhe-apelsinovij-6x16-g.jpg;Тик Так – это освежающее драже c ярким и бодрящим вкусом в удобной упаковке. Обратите внимание, этот товар продается упаковками по 6 штук, цена на сайте указана за 1 штуку.;33;TIC TAC драже Апельсиновый 6x16 г;"(Характеристики товара)Тип товара:Драже;
(Характеристики товара)Бренд:TIC TAC;
(Характеристики товара)Страна происхождения:ИРЛАНДИЯ;
(Характеристики товара)EAN:80050025;
(Характеристики товара)Количество:6 шт";TIC TAC;
Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;Продукты/Кондитерские изделия/Жевательная резинка, драже, леденцы;1;140024;/storage/photo/original/f/tic-tac-drazhe-klubnika-6x16-g.jpg;Тик Так – это освежающее драже c ярким и бодрящим вкусом в удобной упаковке. Обратите внимание, этот товар продается упаковками по 6 штук, цена на сайте указана за 1 штуку.;33;TIC TAC драже Клубника 6x16 г;"(Характеристики товара)Тип товара:Драже;
(Характеристики товара)Бренд:TIC TAC;
(Характеристики товара)Страна происхождения:Ирландия;
(Характеристики товара)EAN:8000500191712;
(Характеристики товара)Количество:6 шт";TIC TAC;
Продукты/Кондитерские изделия/Конфеты, восточные сладости;Продукты/Кондитерские изделия/Конфеты, восточные сладости;1;140025;/storage/photo/original/f/alpen-gold-nabor-konfet-composition-5-vkusov-78-g.jpg;"Набор конфет Alpen Gold Composition (пять вкусов),78г. <br />
- Конфеты с мягкой карамельной начинкой. <br />
- Конфеты с соленой карамельной начинкой декорированные<br />
белой шоколадной глазурью.<br />
- Конфеты с начинкой с какао. <br />
- Конфеты с помадной начинкой декорированные белой шоколадной глазурью. <br />
- Конфеты с помадно клубничной начинкой. <br />
Состав: сахар, жиры растительные, масло<br />
какао, какао тертое, молоко сухое обезжиренное, сыворотка сухая<br />
молочная, сухой сывороточный пермеат, инвертный сахарный сироп, жир<br />
молочный, эмульгаторы ( Е442, лецитин соевый, Е471, лецитин<br />
подсолнечный), агент влагоудерживающий ( сорбитовый сироп), какао<br />
порошок, соль поваренная, порошок клубничный, меласса, ароматизаторы,<br />
молоко сухое цельное, регуляторы кислотности ( карбонат натрия,<br />
кислота лимонная), стабилизатор ( инвертаза) . <br />
СОДЕРЖИТ МОЛОЧНЫЙ<br />
ПРОДУКТЫ, ЛЕЦИТИН СОЕВЫЙ, МОЖЕТ СОДЕРЖАТЬ СЛЕДЫ ОРЕХОВ. <br />
Пищевая ценность в 100г продукта: Белки - 2,7г, Углеводы- 68,0г, в том числе<br />
сахара -57,0г, Жиры- 22,0г, в том числе насыщенные жирные кислоты -<br />
12г, Пищевые волокна - 1,0г, Натрий-0,21г, Энергетическая ценность на<br />
100 г: 474 ккал.";101;ALPEN GOLD набор конфет Composition 5 вкусов 78 г;"(Характеристики товара)Тип товара:Набор конфет;
(Характеристики товара)Бренд:ALPEN GOLD;
(Характеристики товара)Страна происхождения:ПОЛЬША;
(Характеристики товара)EAN:7622210733740;
(Характеристики товара)Вес:78 г";ALPEN GOLD;
Продукты/Кондитерские изделия/Конфеты, восточные сладости;Продукты/Кондитерские изделия/Конфеты, восточные сладости;1;140026;/storage/photo/original/f/azovskaya-kf-kozinak-iz-mindalya-60-g.jpg;Азовская кондитерская фабрика - одно из крупнейших в России предприятий по выпуску восточных сладостей. Халва из подсолнечника, арахиса или кунжута, с добавками и без, козинак из подсолнечника, из миндаля, из грецкого или других орехов, нежнейшие сливочные щербеты, вкуснейший рахат-лукум, мармелад, сливочные конфеты – любой сладкоежка найдет себе лакомство в разнообразии вкусов, форм и рецептур. </p><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Натуральный продукт</li>;29;АЗОВСКАЯ КФ Козинак из Миндаля 60 г;"(Характеристики товара)Тип товара:Козинак;
(Характеристики товара)Бренд:АЗОВСКАЯ КФ;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4620004251732;
(Характеристики товара)Вес:60 г";АЗОВСКАЯ КФ;41
Продукты/Кондитерские изделия/Конфеты, восточные сладости;Продукты/Кондитерские изделия/Конфеты, восточные сладости;1;140027;/storage/photo/original/f/bucheron-nabor-konfet-tryufel-s-celnim-fundukom-175-g.jpg;"Конфеты ""Трюфель"" от Bucheron приготовлены по рецептуре, ставшей популярной в середине XX века. Благодаря швейцарским технологиям и отборным какао-бобам, собранным на Берегу Слоновой Кости, эти конфеты имеют яркий и утонченный вкус. </p><br>ОСОБЕННОСТИ ПРОДУКТА:";208;BUCHERON набор конфет Трюфель с Цельным Фундуком 175 г;"(Характеристики товара)Тип товара:Набор конфет;
(Характеристики товара)Бренд:BUCHERON;
(Характеристики товара)Страна происхождения:-;
(Характеристики товара)EAN:4670016473875;
(Характеристики товара)Вес:175 г";BUCHERON;
Продукты/Кондитерские изделия/Конфеты, восточные сладости;Продукты/Кондитерские изделия/Конфеты, восточные сладости;1;140028;/storage/photo/original/f/ferrero-nabor-konfet-collection-270-g.jpg;"Набор конфет FERRERO Collection 270 г

<p>
<br>Набор уникальных по своему составу хрустящих десертов из трех неповторимых вкусов, благодаря своему качеству получивших признание по всему миру. Внутреннее содержимое конфет представлено хрустящими шариками качественного молочного шоколада, дробленные орешками. Дополняет композицию цельный лесной орех, помещенным в нежнейшую кремовую начинку. Снаружи все покрыто еще одним слоем шоколада. Превосходное лакомство будет по душе и взрослым и детям. Оригинальный и стильный дизайн упаковки прекрасно подойдет в качестве подарка родным и близким.
</p>
<br>
<br>Состав FERRERO ROCHER: Молочный шоколад 30,2% (сахар, масло какао, тертое какао, сухое обезжиренное молоко, молочный жир, эмульгатор: лецитины (сои), идентичный натуральному ароматизатор: ванилин; общий сухой остаток какао-продуктов: не менее 25%, сухой обезжиренный остаток какао-продуктов: не менее 2,5%, сухие вещества молока: не менее 14%, молочный жир: не менее 3,5%), лесные орехи 28,8%, сахар, растительное масло, пшеничная мука, сухая молочная сыворотка, обезжиренный какао-порошок, эмульгатор: лецитины (сои), разрыхлитель: гидрокарбонат натрия, соль, идентичный натуральному ароматизатор: ванилин. Общее содержание какао-продуктов (какао) в шоколадной массе: 25%.Может содержать незначительное количество миндального ореха.
<br>
<br>
Энергетическая ценность на 100 г продукта (средние значения): 2630 кДж / 628 ккал, пищевая ценность на 100 г продукта: белки 7,5 г, углеводы 38,3 г, жиры 48,6 г.
</p>
<br>
<br>Состав FERRERO RONDNOIR: Темный шоколад (сахар, тертое какао, масло какао, эмульгатор: лецитины, ароматизатор), сахар, растительный жир, обезжиренный какао-порошок, лесной орех, сухая молочная сыворотка, пшеничная мука, молочный шоколад (сахар, масло какао, сухое цельное молоко, тертое какао, эмульгатор: лецитины, ароматизатор), пшеничный крахмал, растительное масло, эмульгатор: лецитины, масло какао, сывороточные белки, сухое обезжиренное молоко, разрыхлители: гидрокарбонат аммония и гидрокарбонат натрия, соль, ароматизатор.Содержит орехи, молоко, злаки, содержащие глютен, сою и продукты их переработки. Может содержать незначительное количество миндаля.
</p>
<br>
<br>Состав RAFFAELLO: Сушеная кокосовая стружка 23,6%, сахар, растительное масло, растительный жир, орехи миндаля сладкого 8,2%, сухое обезжиренное молоко, сухая молочная сыворотка, мука пшеничная, идентичные натуральным ароматизаторы: «Ванилин», «Кокос», эмульгатор: лецитины (сои), соль, разрыхлитель: гидрокарбонат натрия.";721;FERRERO набор конфет Collection 270 г;"(Характеристики товара)Тип товара:Ferrero Collection;
(Характеристики товара)Бренд:FERRERO SPA;
(Характеристики товара)Страна происхождения:Германия;
(Характеристики товара)EAN:8000500247167;
(Характеристики товара)Вес:270 г";FERRERO SPA;
Продукты/Кондитерские изделия/Конфеты, восточные сладости;Продукты/Кондитерские изделия/Конфеты, восточные сладости;1;140029;/storage/photo/original/f/ferrero-nabor-konfet-rocher-125-g.jpg;"Набор конфет FERRERO

<p>
<br>Набор уникальных по своему составу хрустящих десертов из пяти неповторимых вкусов, лучших представителей бренда. Состав каждого вида может удовлетворить вкусы самых изысканных гурманов. В данной коллекции представлены неповторимые сочетания темного шоколада с настоящим жидким кофе внутри. Классический вариант дает нам возможность насладиться нежным молочным шоколадом в сочетании с цельным орехом. Все собрано в элегантную пластиковую упаковку. Данная коллекция создана для ценителей разнообразных вкусов.
</p>
<br>
<br>Состав FERRERO ROCHER: Молочный шоколад 30,2% (сахар, масло какао, тертое какао, сухое обезжиренное молоко, молочный жир, эмульгатор: лецитины (сои), идентичный натуральному ароматизатор: ванилин; общий сухой остаток какао-продуктов: не менее 25%, сухой обезжиренный остаток какао-продуктов: не менее 2,5%, сухие вещества молока: не менее 14%, молочный жир: не менее 3,5%), лесные орехи 28,8%, сахар, растительное масло, пшеничная мука, сухая молочная сыворотка, обезжиренный какао-порошок, эмульгатор: лецитины (сои), разрыхлитель: гидрокарбонат натрия, соль, идентичный натуральному ароматизатор: ванилин. Общее содержание какао-продуктов (какао) в шоколадной массе: 25%.Может содержать незначительное количество миндального ореха.
<br>
<br>
Энергетическая ценность на 100 г продукта (средние значения): 2630 кДж / 628 ккал, пищевая ценность на 100 г продукта: белки 7,5 г, углеводы 38,3 г, жиры 48,6 г.";231;FERRERO набор конфет Rocher 125 г;"(Характеристики товара)Тип товара:Набор конфет;
(Характеристики товара)Бренд:FERRERO SPA;
(Характеристики товара)Серия:Ferrero Rocher;
(Характеристики товара)Страна происхождения:Италия;
(Характеристики товара)EAN:8000500170779;
(Характеристики товара)Вес:125 г";FERRERO SPA;
Продукты/Кондитерские изделия/Конфеты, восточные сладости;Продукты/Кондитерские изделия/Конфеты, восточные сладости;1;140030;/storage/photo/original/f/ferrero-nabor-konfet-rocher-200-g.jpg;"Набор конфет FERRERO

<p>
<br>Набор уникальных по своему составу хрустящих десертов из пяти неповторимых вкусов, лучших представителей бренда. Состав каждого вида может удовлетворить вкусы самых изысканных гурманов. В данной коллекции представлены неповторимые сочетания темного шоколада с настоящим жидким кофе внутри. Классический вариант дает нам возможность насладиться нежным молочным шоколадом в сочетании с цельным орехом. Все собрано в элегантную пластиковую упаковку. Данная коллекция создана для ценителей разнообразных вкусов.
</p>
<br>
<br>Состав FERRERO ROCHER: Молочный шоколад 30,2% (сахар, масло какао, тертое какао, сухое обезжиренное молоко, молочный жир, эмульгатор: лецитины (сои), идентичный натуральному ароматизатор: ванилин; общий сухой остаток какао-продуктов: не менее 25%, сухой обезжиренный остаток какао-продуктов: не менее 2,5%, сухие вещества молока: не менее 14%, молочный жир: не менее 3,5%), лесные орехи 28,8%, сахар, растительное масло, пшеничная мука, сухая молочная сыворотка, обезжиренный какао-порошок, эмульгатор: лецитины (сои), разрыхлитель: гидрокарбонат натрия, соль, идентичный натуральному ароматизатор: ванилин. Общее содержание какао-продуктов (какао) в шоколадной массе: 25%.Может содержать незначительное количество миндального ореха.
<br>
<br>
Энергетическая ценность на 100 г продукта (средние значения): 2630 кДж / 628 ккал, пищевая ценность на 100 г продукта: белки 7,5 г, углеводы 38,3 г, жиры 48,6 г.";355;FERRERO набор конфет Rocher 200 г;"(Характеристики товара)Тип товара:Набор конфет;
(Характеристики товара)Бренд:FERRERO SPA;
(Характеристики товара)Серия:Ferrero Rocher;
(Характеристики товара)Страна происхождения:Италия;
(Характеристики товара)EAN:8000500003787;
(Характеристики товара)Вес:200 г";FERRERO SPA;
Продукты/Кондитерские изделия/Конфеты, восточные сладости;Продукты/Кондитерские изделия/Конфеты, восточные сладости;1;140031;/storage/photo/original/f/ferrero-nabor-konfet-rocher-300-g.jpg;"Набор конфет FERRERO

<p>
<br>Набор уникальных по своему составу хрустящих десертов из пяти неповторимых вкусов, лучших представителей бренда. Состав каждого вида может удовлетворить вкусы самых изысканных гурманов. В данной коллекции представлены неповторимые сочетания темного шоколада с настоящим жидким кофе внутри. Классический вариант дает нам возможность насладиться нежным молочным шоколадом в сочетании с цельным орехом. Все собрано в элегантную пластиковую упаковку. Данная коллекция создана для ценителей разнообразных вкусов.
</p>
<br>
<br>Состав FERRERO ROCHER: Молочный шоколад 30,2% (сахар, масло какао, тертое какао, сухое обезжиренное молоко, молочный жир, эмульгатор: лецитины (сои), идентичный натуральному ароматизатор: ванилин; общий сухой остаток какао-продуктов: не менее 25%, сухой обезжиренный остаток какао-продуктов: не менее 2,5%, сухие вещества молока: не менее 14%, молочный жир: не менее 3,5%), лесные орехи 28,8%, сахар, растительное масло, пшеничная мука, сухая молочная сыворотка, обезжиренный какао-порошок, эмульгатор: лецитины (сои), разрыхлитель: гидрокарбонат натрия, соль, идентичный натуральному ароматизатор: ванилин. Общее содержание какао-продуктов (какао) в шоколадной массе: 25%.Может содержать незначительное количество миндального ореха.
<br>
<br>
Энергетическая ценность на 100 г продукта (средние значения): 2630 кДж / 628 ккал, пищевая ценность на 100 г продукта: белки 7,5 г, углеводы 38,3 г, жиры 48,6 г.";608;FERRERO набор конфет Rocher 300 г;"(Характеристики товара)Тип товара:Набор конфет;
(Характеристики товара)Бренд:FERRERO SPA;
(Характеристики товара)Серия:Ferrero Rocher;
(Характеристики товара)Страна происхождения:Германия;
(Характеристики товара)EAN:8000500009673;
(Характеристики товара)Вес:300 г";FERRERO SPA;
