Категории;Основная категория;Показывать товар;Артикул;Фотографии;Описание товара;Цена_Розничная;Короткое название;Характеристики;Бренд;Цена_Зачеркнутая
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150030;/storage/photo/original/f/sen-soy-soevij-sous-legkij-250-ml.jpg;;42;SEN SOY соевый соус Легкий 250 мл;;SEN SOY;
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150031;/storage/photo/original/f/sen-soy-soevij-sous-pryanij-250-ml.jpg;;42;SEN SOY соевый соус Пряный 250 мл;;SEN SOY;
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150032;/storage/photo/original/f/sen-soy-soevij-sous-teriyaki-premium-220-ml.jpg;;64;SEN SOY соевый соус Терияки Премиум 220 мл;;SEN SOY;
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150033;/storage/photo/original/f/sen-soy-sous-chapchae-dlya-obzharki-lapshi-80-g.jpg;;45;SEN SOY соус Chapchae для обжарки лапши 80 г;;SEN SOY;
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150034;/storage/photo/original/f/sen-soy-sous-hren-vasabi-100-g.jpg;Острая приправа, необходимый атрибут для спайси-суши.Соус обладает приятным мягким жгучим вкусом. С этим соусом легко готовить популярные spicy-sushi. Также этот соус прекрасно дополнит блюда из мяса, птицы, рыбы и овощей.</p><br>ОСОБЕННОСТИ ПРОДУКТА:;65;SEN SOY Соус Хрен-Васаби 100 г;"(Характеристики товара)Тип товара:Соус;
(Характеристики товара)Бренд:SEN SOY;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4607041135560;
(Характеристики товара)Вес:100 г";SEN SOY;
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150035;/storage/photo/original/f/sen-soy-sous-karri-dlya-kurici-120-g.jpg;;42;SEN SOY соус Карри для курицы 120 г;;SEN SOY;
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150036;/storage/photo/original/f/sen-soy-sous-kislo-sladkij-dlya-kurici-120-g.jpg;;95;SEN SOY соус Кисло-сладкий для курицы 120 г;;SEN SOY;
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150037;/storage/photo/original/f/sen-soy-sous-legkij-150-ml.jpg;;83;SEN SOY соус Легкий 150 мл;;SEN SOY;
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150038;/storage/photo/original/f/sen-soy-sous-original-150-ml.jpg;;83;SEN SOY соус Original 150 мл;;SEN SOY;
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150039;/storage/photo/original/f/sen-soy-sous-pad-thai-dlya-obzharki-lapshi-80-g.jpg;;45;SEN SOY соус Pad Thai для обжарки лапши 80 г;;SEN SOY;
